,,Acidentes,,Vítimas,,Feridos,,Feridos,,Total de,
,,c/ vítimas,,mortais,,graves,,leves,,vítimas,
,,,,,,,,,,,
,,2014,2015,2014,2015,2014,2015,2014,2015,2014,2015
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Braga,2721,2881,43,48,190,179,3369,3573,3602,3800
,Bragança,335,338,19,3,56,46,378,420,453,469
,Porto,5327,5487,80,60,200,173,6641,6849,6921,7082
REGIÃO NORTE,,,,,,,,,,,
,Viana do Castelo,715,740,28,12,36,49,887,945,951,1006
,,,,,,,,,,,
,Vila Real,544,604,24,12,56,54,675,785,755,851
,Total,9642,10050,194,135,538,501,11950,12572,12682,13208
,Aveiro,2409,2501,27,61,116,109,2890,2980,3033,3150
,Castelo Branco,482,517,21,17,82,86,546,600,649,703
,Coimbra,1447,1507,48,32,59,86,1781,1838,1888,1956
REGIÃO CENTRO,,,,,,,,,,,
,Guarda,466,399,10,13,60,55,569,459,639,527
,Leiria,1745,1768,40,41,138,166,2105,2065,2283,2272
,Viseu,1120,1199,33,28,64,95,1445,1506,1542,1629
,Total,7669,7891,179,192,519,597,9336,9448,10034,10237
,Lisboa,6948,7222,93,66,313,344,8172,8581,8578,8991
REGIÃO DE,Santarém,1422,1460,45,41,154,159,1759,1753,1958,1953
LISBOA E VALE,,,,,,,,,,,
,Setúbal,1995,2278,39,54,154,155,2435,2803,2628,3012
TEJO,,,,,,,,,,,
,Total,10365,10960,177,161,621,658,12366,13137,13164,13956
,,,,,,,,,,,
,Beja,449,436,24,39,101,90,520,536,645,665
REGIÃO DO,Évora,417,416,17,11,39,69,499,495,555,575
ALENTEJO,Portalegre,293,299,10,13,66,71,320,335,396,419
,Total,1159,1151,51,63,206,230,1339,1366,1596,1659
REGIÃO DO,Faro,1769,1901,37,42,126,162,2014,2285,2177,2489
ALGARVE,Total,1769,1901,37,42,126,162,2014,2285,2177,2489
TOTAL,,30604,31953,638,593,2010,2148,37005,38808,39653,41549
