,TOTAL DE VÍTIMAS,,,,,,,
,Feminino,,Masculino,,N.D.,,TOTAL,
,2015,2016,2015,2016,2015,2016,2015,2016
,,,,,,,,
<=5,49,45,102,102,0,0,151,147
6-9,59,56,100,93,0,0,159,149
10-14,182,181,180,189,0,0,362,370
15-19,250,276,176,152,0,0,426,428
20-24,160,182,126,126,0,0,286,308
25-29,96,141,89,109,0,0,185,250
30-34,130,114,85,99,0,0,215,213
35-39,123,129,110,115,0,0,233,244
40-44,150,142,99,125,0,0,249,267
45-49,183,192,127,126,0,0,310,318
50-54,208,190,142,140,1,0,351,330
55-59,231,245,157,141,0,0,388,386
60-64,234,220,170,158,0,0,404,378
65-69,201,236,169,161,0,0,370,397
70-74,226,259,141,169,0,0,367,428
>=75,498,552,438,372,2,0,938,924
N.D.,1,0,4,0,0,0,5,0
TOTAL,2981,3160,2415,2377,3,0,5399,5537
