,"Vítimas
mortais",,"Feridos
graves",,"Feridos
leves",,"Total de
vítimas",
,2015,2016,2015,2016,2015,2016,2015,2016
,,,,,,,,
Jan,6,7,27,20,707,735,740,762
Fev,6,6,18,29,641,720,665,755
Mar,2,6,27,31,675,705,704,742
Abr,6,2,25,14,660,689,691,705
Mai,7,6,39,40,770,818,816,864
Jun,15,4,51,24,839,713,905,741
Jul,7,9,49,38,903,957,959,1004
Ago,11,13,51,48,1119,1072,1181,1133
Set,9,9,46,31,899,761,954,801
Out,4,11,36,45,990,830,1030,886
Nov,5,10,28,29,722,791,755,830
Dez,6,9,31,27,882,830,919,866
TOTAL,84,92,428,376,9807,9621,10319,10089
