Via,"Km
Inicial","Km
Final","Nºde
Acidentes","Nºde
Veículos","Nºde
Mortos","Nºde
F.Graves","Nºde
F.Leves","Indicadorde
Gravidade"
A2,"0,030","0,200",6,11,0,0,8,24
A2,"2,650","2,800",5,8,0,0,7,21
A2,"5,350","5,500",5,11,0,0,8,24
A2,"5,600","5,800",5,13,0,0,7,21
A20,"12,300","12,500",6,14,0,0,7,21
A20,"12,600","12,800",5,8,0,0,8,24
A20,"15,900","16,000",7,22,0,0,11,33
A28,"3,600","3,800",7,21,0,0,9,27
A28,"6,180","6,350",9,25,0,0,12,36
A29,"45,188","45,200",5,7,0,3,4,42
A3,"1,600","1,800",6,12,0,3,10,60
A3,"38,680","38,850",6,7,0,0,9,27
A5,"4,300","4,500",5,11,0,0,8,24
A8,"68,780","68,900",5,5,1,0,7,121
EN10,"128,400","128,600",7,12,0,3,5,45
EN108,"18,896","18,960",5,8,0,0,7,21
EN125,"87,300","87,500",5,6,0,0,7,21
EN125,"100,300","100,500",7,14,0,0,12,36
EN14,"4,400","4,600",5,12,0,0,7,21
EN16,"80,400","80,600",7,9,0,1,10,40
EN206,"27,700","27,900",6,11,1,1,8,134
EN223,"18,700","18,900",5,12,0,0,9,27
EN249-4,"8,100","8,300",5,11,0,0,10,30
EN6,"6,000","6,200",5,8,0,0,7,21
EN6,"7,700","7,800",5,8,0,1,5,25
EN6,"8,200","8,400",5,13,0,1,8,34
EN6-7,"3,600","3,700",6,8,0,0,12,36
EN9,"17,200","17,400",5,11,0,0,7,21
IC17,"5,000","5,200",8,16,0,0,12,36
IC17,"5,300","5,500",7,16,0,0,8,24
IC17,"9,000","9,100",6,9,0,0,8,24
IC17,"13,000","13,200",7,16,0,0,8,24
IC17,"13,700","13,900",5,11,0,1,8,34
IC19,"5,900","6,100",5,14,0,0,11,33
IC2,"191,400","191,500",6,7,0,0,7,21
IP7,"10,400","10,500",15,18,0,0,20,60
,,,219,425,2,14,311,
