,,"Acidentes
c/ vítimas",,"Vítimas
mortais",,"Feridos
graves",,"Feridos
leves",,"Total de
vítimas",,"Índice de
gravidade",
,,2016,2017,2016,2017,2016,2017,2016,2017,2016,2017,2016,2017
,,,,,,,,,,,,,
GNR,Jan,1449,1535,36,41,102,115,1799,1856,1937,2012,"2,5","2,7"
,Fev,1434,1235,38,31,116,79,1763,1517,1917,1627,"2,6","2,5"
,Mar,1470,1447,41,26,98,123,1847,1767,1986,1916,"2,8","1,8"
,Abr,1319,1476,30,31,91,158,1638,1741,1759,1930,"2,3","2,1"
,Mai,1541,1633,25,56,127,130,1958,1987,2110,2173,"1,6","3,4"
,Jun,1486,1783,35,45,115,134,1788,2238,1938,2417,"2,4","2,5"
,Jul,1878,2001,44,53,150,171,2322,2509,2516,2733,"2,3","2,6"
,Ago,2028,2144,45,46,179,179,2576,2931,2800,3156,"2,2","2,1"
,Set,1611,1693,46,46,133,138,1963,2071,2142,2255,"2,9","2,7"
,Out,1673,1838,50,45,129,122,2044,2259,2223,2426,"3,0","2,4"
,Nov,1619,1655,36,34,93,108,1981,2001,2110,2143,"2,2","2,1"
,Dez,1556,1824,40,48,120,128,1927,2336,2087,2512,"2,6","2,6"
,Total,19064,20264,466,502,1453,1585,23606,25213,25525,27300,"2,4","2,5"
PSP,Jan,1191,1112,9,7,39,31,1381,1317,1429,1355,"0,8","0,6"
,Fev,1097,969,11,7,32,28,1282,1135,1325,1170,"1,0","0,7"
,Mar,977,1099,6,5,45,40,1124,1275,1175,1320,"0,6","0,5"
,Abr,983,1040,5,6,30,34,1149,1228,1184,1268,"0,5","0,6"
,Mai,1019,1198,9,8,37,46,1199,1401,1245,1455,"0,9","0,7"
,Jun,1082,1197,8,11,44,48,1281,1366,1333,1425,"0,7","0,9"
,Jul,1178,1217,11,7,57,51,1401,1486,1469,1544,"0,9","0,6"
,Ago,1035,1104,10,14,57,37,1216,1306,1283,1357,"1,0","1,3"
,Set,1140,1262,2,10,56,48,1306,1447,1364,1505,"0,2","0,8"
,Out,1205,1370,11,3,53,55,1417,1640,1481,1698,"0,9","0,2"
,Nov,1212,1325,10,11,51,52,1417,1515,1478,1578,"0,8","0,8"
,Dez,1116,1259,5,11,45,62,1327,1447,1377,1520,"0,4","0,9"
,Total,13235,14152,97,100,546,532,15500,16563,16143,17195,"0,7","0,7"
TOTAL,,32299,34416,563,602,1999,2117,39106,41776,41668,44495,"1,7","1,7"
