,Acidentes,,Acidentes c/,,Acidentes,,,,,,,,Total,,Índice
,,,vítimas,,c/,,Vítimas,,Feridos,,Feridos,,,,
,com,% *,,% *,,% *,,% *,,% *,,% *,de,% *,de
,,,mortais,,vítimas,,mortais,,graves,,leves,,,,
,vítimas,,,,,,,,,,,,feridos,,grav.
,,,e/ou f.graves,,mortais,,,,,,,,,,
,,,,,,,,,,,,,,,
2010,35426,-,2832,-,857,-,937,-,2475,-,43890,-,46365,-,"2,6"
2011,32541,"-8,1",2670,"-5,7",826,"-3,6",891,"-4,9",2265,"-8,5",39695,"-9,6",41960,"-9,5","2,7"
2012,29867,"-8,2",2289,"-14,3",667,"-19,2",718,"-19,4",1941,"-14,3",36164,"-8,9",38105,"-9,1","2,4"
2013,30339,"1,6",2202,"-3,8",585,"-12,3",637,"-11,3",1946,"0,3",36807,"1,8",38753,"1,5","2,1"
2014,30604,"0,9",2331,"5,9",603,"3,1",638,"0,2",2010,"3,3",37005,"0,5",39015,"0,5","2,1"
2015,31953,"4,4",2374,"1,8",554,"-8,1",593,"-7,1",2148,"6,9",38808,"4,9",40956,"4,7","1,9"
2016,32299,"1,1",2215,"-6,7",529,"-4,5",563,"-5,1",1999,"-6,9",39106,"0,8",41105,"0,7","1,7"
2017,34416,"6,6",2408,"8,7",578,"9,3",602,"6,9",2117,"5,9",41776,"6,8",43893,"6,8","1,7"
2018,34235,"-0,5",2355,"-2,2",628,"8,7",675,"12,1",1995,"-5,8",41335,"-1,1",43330,"-0,9","2,0"
