,Acidentes,,Vítimas,,Feridos,,Feridos,,Total de,,Índice de,
,c/ vítimas,,mortais,,graves,,leves,,vítimas,,gravidade,
,,,,,,,,,,,,
,2017,2018,2017,2018,2017,2018,2017,2018,2017,2018,2017,2018
,,,,,,,,,,,,
Jan,2647,2572,48,50,146,119,3173,3101,3367,3270,"1,8","1,9"
Fev,2204,2389,38,44,107,117,2652,2882,2797,3043,"1,7","1,8"
Mar,2546,2700,31,40,163,136,3042,3286,3236,3462,"1,2","1,5"
Abr,2516,2449,37,41,192,141,2969,2965,3198,3147,"1,5","1,7"
Mai,2831,2777,64,51,176,176,3388,3325,3628,3552,"2,3","1,8"
Jun,2980,2868,56,46,182,158,3604,3530,3842,3734,"1,9","1,6"
Jul,3218,2993,60,65,222,192,3995,3580,4277,3837,"1,9","2,2"
Ago,3248,3153,60,77,216,220,4237,3915,4513,4212,"1,8","2,4"
Set,2955,3117,56,73,186,226,3518,3732,3760,4031,"1,9","2,3"
Out,3208,3296,48,67,177,182,3899,3928,4124,4177,"1,5","2,0"
Nov,2980,2885,45,49,160,146,3516,3422,3721,3617,"1,5","1,7"
Dez,3083,3036,59,72,190,182,3783,3669,4032,3923,"1,9","2,4"
TOTAL,34416,34235,602,675,2117,1995,41776,41335,44495,44005,"1,7","2,0"
