,,Atropelamento,Atropelamento,Colisão,Colisão,Despiste,Despiste,Total,Total,Veículos,V/1000
,,,,,,,,veículos (V),veículos (V),circulação,Vci
,,2017,2018,2017,2018,2017,2018,2017,2018,(Vci),2018
,Passageiros,3844,3859,24947,24618,6029,6198,34820,34675,0,0
,Mercadorias,840,819,5353,5044,1233,1319,7426,7182,0,0
,Outros,55,45,284,278,78,75,417,398,0,0
Veíc. Ligeiros,N.D.,104,95,50,41,11,11,165,147,0,0
,Total,4843,4818,30634,29981,7351,7603,42828,42402,5456974,8
,Passageiros,92,92,331,339,14,29,437,460,0,0
,Mercadorias,46,48,733,674,130,117,909,839,0,0
,Outros,20,16,226,251,64,58,310,325,0,0
Veíc. Pesados,N.D.,0,1,1,0,0,0,1,1,0,0
,Total,158,157,1291,1264,208,204,1657,1625,129453,13
Velocípedes,,93,104,1554,1379,481,573,2128,2056,0,0
Ciclomotores,,62,45,1638,1399,1182,1046,2882,2490,0,0
Motociclos,,148,172,3465,3705,2145,2134,5758,6011,219809,27
Outros,,66,71,368,320,327,305,761,696,0,0
N.D.,,85,99,77,90,5,2,167,191,0,0
TOTAL,,5455,5466,39027,38138,11699,11867,56181,55471,0,0
