,Vítimas,,Feridos,,Feridos,,Total de,,Vítimas mortais,,Feridos graves,
,mortais,,graves,,leves,,vítimas,,por 100 vítimas,,por 100 vítimas,
,,,,,,,,,,,,
,2017,2018,2017,2018,2017,2018,2017,2018,2017,2018,2017,2018
,,,,,,,,,,,,
Peões,130,156,393,388,5128,5108,5651,5652,2,3,7,7
Veíc. Ligeiros *,260,294,928,895,25410,25116,26598,26305,1,1,3,3
Veíc. Pesados *,6,11,28,32,613,672,647,715,1,2,4,4
Velocípedes *,25,24,126,107,1885,1853,2036,1984,1,1,6,5
Ciclomotores *,43,40,184,141,2740,2384,2967,2565,1,2,6,5
Motociclos *,106,105,388,369,5460,5725,5954,6199,2,2,7,6
Outros *,32,45,70,63,538,474,640,582,5,8,11,11
N.D.,0,0,0,0,2,3,2,3,0,0,0,0
TOTAL,602,675,2117,1995,41776,41335,44495,44005,1,2,5,5
