,,,,,,,,
,FERIDOS GRAVES,,,,,,,
,,,,,,,,
,,,,,,,,
,Feminino,,Masculino,,N.D.,,TOTAL,
,,,,,,,,
,,,,,,,,
,2017,2018,2017,2018,2017,2018,2017,2018
,,,,,,,,
<=5,5,4,2,7,0,0,7,11
6-9,1,2,4,4,0,0,5,6
10-14,8,3,8,15,0,0,16,18
15-19,9,11,14,9,0,0,23,20
20-24,4,13,13,6,0,0,17,19
25-29,6,4,4,4,0,0,10,8
30-34,2,2,8,3,0,0,10,5
35-39,6,6,6,8,0,0,12,14
40-44,10,9,12,12,0,0,22,21
45-49,8,7,14,8,0,0,22,15
50-54,16,15,12,14,0,0,28,29
55-59,10,16,20,19,0,0,30,35
60-64,12,15,15,12,0,0,27,27
65-69,10,16,14,16,0,0,24,32
70-74,20,19,19,12,0,0,39,31
>=75,54,57,46,40,0,0,100,97
N.D.,1,0,0,0,0,0,1,0
TOTAL,182,199,211,189,0,0,393,388
