,,Vítimas,,Feridos,,Feridos,,Total de,
,,mortais,,graves,,leves,,vítimas,
,,,,,,,,,
,,2017,2018,2017,2018,2017,2018,2017,2018
,,,,,,,,,
,A sair ou entrar num veículo,9,14,40,43,463,438,512,495
,Atravessando em passagem sinalizada,16,23,108,112,2174,2216,2298,2351
,Atravessando em passagem sinalizada com desrespeito,2,2,12,7,97,94,111,103
,da sinalização semafórica,,,,,,,,
,Atravessando fora da passagem de peões a mais de,13,14,36,24,342,325,391,363
,,,,,,,,,
,50m de uma passagem ou quando não exista passagem,,,,,,,,
,"Atravessando fora da passagem de peões, a menos de",12,18,58,44,518,508,588,570
,50m de uma passagem,,,,,,,,
,Em ilhéu ou refúgio na via,1,1,5,3,49,52,55,56
,,,,,,,,,
,Em plena faixa de rodagem,20,35,40,43,566,550,626,628
,,,,,,,,,
,Em trabalhos na via,0,0,3,3,30,33,33,36
,,,,,,,,,
,Surgindo inesperadamente na faixa de rodagem de trás,4,6,20,24,220,226,244,256
,de um obstáculo,,,,,,,,
,Transitando pela berma ou passeio,10,10,25,30,376,358,411,398
"Dentro das
localidades",Transitando pela direita da faixa de rodagem,8,0,4,13,121,117,133,130
,,,,,,,,,
,Transitando pela esquerda da faixa de rodagem,4,2,3,5,48,35,55,42
,N.D.,2,1,2,8,31,41,35,50
,TOTAL,101,126,356,359,5035,4993,5492,5478
,A sair ou entrar num veículo,5,3,5,9,23,25,33,37
,Atravessando em passagem sinalizada,0,0,0,1,9,3,9,4
,Atravessando fora da passagem de peões a mais de,3,3,5,3,8,10,16,16
,50m de uma passagem ou quando não exista passagem,,,,,,,,
,"Atravessando fora da passagem de peões, a menos de",0,0,0,0,4,2,4,2
,50m de uma passagem,,,,,,,,
,Em ilhéu ou refúgio na via,0,1,1,0,3,4,4,5
,,,,,,,,,
,Em plena faixa de rodagem,16,13,7,7,13,22,36,42
,Em trabalhos na via,1,1,5,0,3,12,9,13
,Surgindo inesperadamente na faixa de rodagem de trás,0,2,5,2,5,6,10,10
,,,,,,,,,
,de um obstáculo,,,,,,,,
,Transitando pela berma ou passeio,3,5,3,5,19,18,25,28
,,,,,,,,,
Fora das,Transitando pela direita da faixa de rodagem,1,1,4,1,4,7,9,9
localidades,,,,,,,,,
,Transitando pela esquerda da faixa de rodagem,0,1,2,1,2,5,4,7
,N.D.,0,0,0,0,0,1,0,1
,TOTAL,29,30,37,29,93,115,159,174
