,,,,,,,,
,FERIDOS LEVES,,,,,,,
,,,,,,,,
,,,,,,,,
,Feminino,,Masculino,,N.D.,,TOTAL,
,,,,,,,,
,,,,,,,,
,2017,2018,2017,2018,2017,2018,2017,2018
,,,,,,,,
<=14,852,798,774,878,0,0,1626,1676
15-19,653,646,466,438,0,0,1119,1084
20-24,673,661,493,473,0,0,1166,1134
25-29,487,507,290,324,0,0,777,831
30-34,373,367,231,218,0,0,604,585
35-39,345,366,176,163,0,0,521,529
40-44,410,366,163,176,0,0,573,542
45-49,397,356,154,146,0,0,551,502
50-54,413,405,158,130,0,0,571,535
55-59,426,374,126,118,0,0,552,492
60-64,397,381,93,104,0,0,490,485
65-69,412,405,96,85,0,0,508,490
70-74,340,342,73,90,0,0,413,432
>=75,550,563,145,160,0,0,695,723
N.D.,0,0,0,0,0,6,0,6
TOTAL,6728,6537,3438,3503,0,6,10166,10046
