,,,,,,,,
,TOTAL DE VÍTIMAS,,,,,,,
,,,,,,,,
,,,,,,,,
,Feminino,,Masculino,,N.D.,,TOTAL,
,,,,,,,,
,,,,,,,,
,2017,2018,2017,2018,2017,2018,2017,2018
,,,,,,,,
<=14,15,15,130,109,0,0,145,124
15-19,362,333,1242,1213,0,1,1604,1547
20-24,1090,1093,2048,2180,1,0,3139,3273
25-29,1039,1065,1918,1995,0,0,2957,3060
30-34,970,934,1704,1702,0,0,2674,2636
35-39,973,967,1770,1694,0,0,2743,2661
40-44,1067,989,1930,1760,0,0,2997,2749
45-49,921,947,1676,1643,1,0,2598,2590
50-54,776,787,1428,1408,0,0,2204,2195
55-59,595,662,1306,1260,0,0,1901,1922
60-64,448,458,1097,1036,0,0,1545,1494
65-69,289,305,894,851,0,0,1183,1156
70-74,193,203,778,744,0,0,971,947
>=75,155,175,1388,1317,0,0,1543,1492
N.D.,2,1,3,2,4,0,9,3
TOTAL,8895,8934,19312,18914,6,1,28213,27849
