,Vítimas,,Feridos,,Feridos,,Total,,Total,
,mortais,,graves,,leves,,vítimas,,intervenientes,
,,,,,,,,,,
,2017,2018,2017,2018,2017,2018,2017,2018,2017,2018
,,,,,,,,,,
Veíc. Ligeiros,198,216,600,574,16464,16359,17262,17149,42828,42402
Veíc. Pesados,5,8,21,22,286,285,312,315,1657,1625
Velocípedes,25,24,125,105,1855,1813,2005,1942,2128,2056
Ciclomotores,42,40,173,135,2510,2179,2725,2354,2882,2490
Motociclos,100,104,355,342,4976,5207,5431,5653,5758,6011
Outros,28,43,59,55,389,335,476,433,761,696
N.D.,0,0,0,0,2,3,2,3,167,191
TOTAL,398,435,1333,1233,26482,26181,28213,27849,56181,55471
