,Vítimas,,Feridos,,Feridos,,Total de,
,mortais,,graves,,leves,,vítimas,
,,,,,,,,
,2017,2018,2017,2018,2017,2018,2017,2018
,,,,,,,,
Atravessando a via,6,4,10,5,166,135,182,144
Circulação em sentido oposto ao estabelecido,5,4,10,17,95,89,110,110
Desvio brusco/ saída de fila de trânsito,14,12,33,26,373,332,420,370
Em marcha normal,331,368,1141,1068,22102,22113,23574,23549
Início de marcha,4,5,22,22,494,427,520,454
Inversão do sentido de marcha,2,0,3,3,69,60,74,63
Marcha atrás,2,2,1,2,60,60,63,64
Mudança de direção para a direita,0,1,6,4,249,248,255,253
Mudança de direção para a esquerda,9,10,43,28,1046,945,1098,983
Mudança de via de trânsito para a direita,1,0,1,1,57,55,59,56
Mudança de via de trânsito para a esquerda,3,2,8,6,133,118,144,126
Parado ou estacionado,2,7,15,6,702,659,719,672
Saída de parqueamento ou de rua particular,4,1,2,2,110,115,116,118
Trânsito em filas paralelas,0,0,0,1,27,17,27,18
Travagem brusca,1,1,4,4,147,140,152,145
Ultrapassagem pela direita,0,2,2,4,35,44,37,50
Ultrapassagem pela esquerda,13,14,30,30,499,505,542,549
N.D.,1,2,2,4,118,119,121,125
TOTAL,398,435,1333,1233,26482,26181,28213,27849
