,2. Pontos negros em 2018,,,,,,,,,,,,,,,,,,,,,
VIA,,,KM INICIAL,KM FINAL,"N.º
ACIDENTES",,,"N.º
VEÍCULOS",,,"N.º VÍTIMAS
MORTAIS",,,,N.º,,,N.º,,,INDICADOR,
,,,,,,,,,,,,,,,VÍTIMAS,,,VÍTIMAS,,,DE,
,,,,,,,,,,,,,,,F. GRAVES,,,F. LEVES,,,GRAVIDADE,
,A2,,"0,100","0,250",5,,,9,,,0,,,0,,,9,,,27,,
,A2,,"2,550","2,750",8,,,14,,,0,,,0,,,9,,,27,,
,A2,,"4,400","4,600",6,,,12,,,0,,,0,,,9,,,27,,
,A2,,"5,600","5,800",7,,,13,,,0,,,0,,,9,,,27,,
,A2,,"5,700","5,900",9,,,18,,,0,,,1,,,9,,,37,,
,A2,,"5,950","6,100",5,,,15,,,0,,,0,,,8,,,24,,
,A20,,"12,300","12,450",10,,,28,,,0,,,0,,,12,,,36,,
,A20,,"14,300","14,500",7,,,22,,,0,,,0,,,9,,,27,,
,A20,,"14,800","14,900",6,,,13,,,0,,,0,,,7,,,21,,
,A20,,"15,800","16,000",7,,,19,,,0,,,0,,,10,,,30,,
,A28,,"3,000","3,100",5,,,9,,,0,,,0,,,8,,,24,,
,A28,,"6,100","6,300",6,,,16,,,0,,,0,,,10,,,30,,
,A3,,"16,200","16,400",8,,,9,,,0,,,0,,,10,,,30,,
,A3,,"16,425","16,500",6,,,7,,,0,,,0,,,7,,,21,,
,A41,,"13,700","13,800",5,,,13,,,0,,,0,,,7,,,21,,
,A43,,"1,980","2,000",7,,,8,,,0,,,0,,,10,,,30,,
,A44,,"3,475","3,652",5,,,12,,,0,,,0,,,8,,,24,,
,A5,,"0,060","0,200",10,,,14,,,0,,,0,,,13,,,39,,
,A5,,"0,100","0,200",7,,,14,,,0,,,0,,,7,,,21,,
,A5,,"0,700","0,900",5,,,11,,,0,,,0,,,8,,,24,,
,A5,,"0,800","0,900",5,,,11,,,0,,,0,,,8,,,24,,
,A5,,"1,800","2,000",8,,,18,,,0,,,0,,,8,,,24,,
,A5,,"4,200","4,400",6,,,17,,,0,,,0,,,8,,,24,,
,EN1,,"283,900","284,045",5,,,9,,,1,,,0,,,5,,,115,,
,EN10,,"29,600","29,700",6,,,6,,,0,,,0,,,7,,,21,,
,EN10,,"128,400","128,600",9,,,16,,,0,,,1,,,9,,,37,,
,EN10,,"128,800","129,000",5,,,8,,,0,,,1,,,5,,,25,,
,EN10,,"130,300","130,300",6,,,10,,,0,,,0,,,7,,,21,,
,EN10,,"133,100","133,300",5,,,17,,,0,,,0,,,9,,,27,,
,EN10,,"135,000","135,200",6,,,10,,,0,,,1,,,5,,,25,,
,EN10,,"138,100","138,300",5,,,12,,,1,,,0,,,7,,,121,,
,EN101,,"81,300","81,500",6,,,14,,,0,,,0,,,8,,,24,,
,EN12,,"1,700","1,900",5,,,8,,,1,,,0,,,5,,,115,,
,EN12,,"7,600","7,800",5,,,11,,,0,,,0,,,7,,,21,,
,EN12,,"8,900","9,000",5,,,11,,,0,,,0,,,9,,,27,,
,EN14,,"33,000","33,200",5,,,9,,,0,,,0,,,10,,,30,,
,EN14,,"36,500","36,700",5,,,8,,,0,,,0,,,8,,,24,,
,EN234,,"26,300","26,310",6,,,12,,,0,,,0,,,7,,,21,,
,EN251,,"68,400","68,450",5,,,5,,,0,,,1,,,7,,,31,,
,EN266,,"55,979","56,000",5,,,5,,,0,,,1,,,5,,,25,,
,IC16,,"1,350","1,500",5,,,9,,,0,,,0,,,9,,,27,,
,IC17,,"4,800","5,000",9,,,26,,,0,,,0,,,14,,,42,,
,IC17,,"5,100","5,300",8,,,20,,,0,,,0,,,14,,,42,,
,IC17,,"6,100","6,300",5,,,12,,,0,,,0,,,14,,,42,,
,IC19,,"0,050","0,200",12,,,21,,,0,,,0,,,13,,,39,,
,IC19,,"0,300","0,500",5,,,9,,,0,,,0,,,7,,,21,,
,IC19,,"1,900","2,100",6,,,16,,,0,,,1,,,6,,,28,,
,IC19,,"2,550","2,700",5,,,9,,,0,,,1,,,5,,,25,,
,IC19,,"3,700","3,900",7,,,15,,,0,,,0,,,9,,,27,,
,IC19,,"4,000","4,100",6,,,12,,,0,,,0,,,8,,,24,,
,IC19,,"5,800","6,000",7,,,19,,,0,,,0,,,9,,,27,,
,IC19,,"6,800","7,000",6,,,12,,,0,,,0,,,8,,,24,,
,IC19,,"8,800","9,000",5,,,10,,,0,,,1,,,4,,,22,,
,IC2,,"8,950","9,100",7,,,12,,,0,,,0,,,9,,,27,,
,IC2,,"130,650","130,800",10,,,25,,,0,,,0,,,13,,,39,,
,IC20,,"1,600","1,700",6,,,14,,,0,,,0,,,9,,,27,,
,IC20,,"2,200","2,400",6,,,15,,,0,,,0,,,10,,,30,,
,IP7,,"0,300","0,500",5,,,10,,,0,,,0,,,9,,,27,,
,,,,,,367,,,759,,,3,,,9,,,493,,,,
,,,,,,TOTAL,,,,,,,,,,,,,,,,
