,,,,,,,,,,,Índice de,
,AcV,,VM,,FG,,FL,,Total de Feridos,,,
,,,,,,,,,,,Gravidade,
,,,,,,,,,,,,
,2018,2019,2018,2019,2018,2019,2018,2019,2018,2019,2018,2019
2ª feira,5 239,5 059,106,84,283,229,6 281,6 106,6 670,6 419,2.0,1.7
3ª feira,4 697,5 172,66,78,248,299,5 561,6 208,5 875,6 585,1.4,1.5
4ª feira,5 067,5 117,88,67,278,243,5 951,6 140,6 317,6 450,1.7,1.3
5ª feira,4 970,5 367,86,86,235,284,5 910,6 319,6 231,6 689,1.7,1.6
6ª feira,5 480,5 553,89,103,311,337,6 539,6 624,6 939,7 064,1.6,1.9
sábado,4 627,5 046,122,103,310,403,5 713,6 185,6 145,6 691,2.6,2.0
domingo,4 155,4 390,118,105,330,373,5 380,5 601,5 828,6 079,2.8,2.4
Total,34 235,35 704,675,626,1 995,2 168,41 335,43 183,44 005,45 977,2.0,1.8
