,AcV,,VM,,FG,,FL,,Total de Feridos,,Índice de,
,,,,,,,,,,,Gravidade,
,2018,2019,2018,2019,2018,2019,2018,2019,2018,2019,2018,2019
00h - 03h,1 269,1 323,54,42,123,138,1 581,1 596,1 758,1 776,4.3,3.2
03h - 06h,764,752,27,24,74,89,939,888,1 040,1 001,3.5,3.2
06h - 09h,3 863,3 983,93,54,216,210,4 563,4 774,4 872,5 038,2.4,1.4
09h - 12h,5 580,5 793,94,81,255,268,6 603,6 812,6 952,7 161,1.7,1.4
12h - 15h,6 004,6 308,98,75,294,307,7 181,7 684,7 573,8 066,1.6,1.2
15h - 18h,6 971,7 437,119,135,424,423,8 691,9 211,9 234,9 769,1.7,1.8
18h - 21h,6 887,7 151,134,141,387,467,8 249,8 599,8 770,9 207,1.9,2.0
21h - 24h,2 897,2 957,56,74,222,266,3 528,3 619,3 806,3 959,1.9,2.5
Total,34 235,35 704,675,626,1 995,2 168,41 335,43 183,44 005,45 977,2.0,1.8
