,,,,,,,,,,Total de,,Índice de,
,,AcV,,VM,,FG,,FL,,,,,
,,,,,,,,,,Feridos,,Gravidade,
,,,,,,,,,,,,,
,,2018,2019,2018,2019,2018,2019,2018,2019,2018,2019,2018,2019
,Arruamento,21 268,22 794,249,234,940,999,24 538,26 457,25 727,27 690,1.2,1.0
,Estrada Municipal,797,492,15,8,60,46,957,583,1 032,637,1.9,1.6
Dentro das,Estrada Nacional,3 637,3 520,77,74,216,221,4 665,4 566,4 958,4 861,2.1,2.1
localidades,IP/IC,262,279,5,3,10,10,340,353,355,366,1.9,1.1
,Outra Via *,548,813,9,14,22,71,647,970,678,1 055,1.6,1.7
,Total,26 512,27 898,355,333,1 248,1 347,31 147,32 929,32 750,34 609,1.3,1.2
,Autoestrada,2 156,2 146,57,67,120,168,3 083,3 084,3 260,3 319,2.6,3.1
,Estrada Municipal,968,842,42,32,101,111,1 156,1 025,1 299,1 168,4.3,3.8
Fora das,Estrada Nacional,2 937,2 852,150,106,372,328,3 761,3 675,4 283,4 109,5.1,3.7
localidades,IP/IC,1 036,950,55,47,92,98,1 467,1 261,1 614,1 406,5.3,4.9
,Outra Via *,626,1 016,16,41,62,116,721,1 209,799,1 366,2.6,4.0
,Total,7 723,7 806,320,293,747,821,10 188,10 254,11 255,11 368,4.1,3.8
"Arruamento
Autoestrada
Estrada Municipal
Total
Estrada Nacional
IP/IC
Outra Via *",,21 268,22 794,249,234,940,999,24 538,26 457,25 727,27 690,1.2,1.0
,Autoestrada,2 156,2 146,57,67,120,168,3 083,3 084,3 260,3 319,2.6,3.1
,Estrada Municipal,1 765,1 334,57,40,161,157,2 113,1 608,2 331,1 805,3.2,3.0
Total,,,,,,,,,,,,,
,Estrada Nacional,6 574,6 372,227,180,588,549,8 426,8 241,9 241,8 970,3.5,2.8
,,,,,,,,,,,,,
,IP/IC,1 298,1 229,60,50,102,108,1 807,1 614,1 969,1 772,4.6,4.1
,Outra Via *,1 174,1 829,25,55,84,187,1 368,2 179,1 477,2 421,2.1,3.0
Total,,34 235,35 704,675,626,1 995,2 168,41 335,43 183,44 005,45 977,2.0,1.8
