,,AcV,,VM,,FG,,FL,,Total de,,Índice de,
,,,,,,,,,,Feridos,,Gravidade,
,,2018,2019,2018,2019,2018,2019,2018,2019,2018,2019,2018,2019
,jan,1 471,1 568,40,55,86,105,1 822,1 870,1 948,2 030,2.7,3.5
,fev,1 383,1 297,34,42,84,92,1 702,1 573,1 820,1 707,2.5,3.2
,mar,1 594,1 603,34,34,96,138,1 976,1 983,2 106,2 155,2.1,2.1
,abr,1 439,1 569,31,31,83,114,1 806,1 965,1 920,2 110,2.2,2.0
,mai,1 598,1 779,43,47,139,149,1 925,2 143,2 107,2 339,2.7,2.6
Guarda Nacional,jun,1 678,1 697,38,39,115,149,2 106,2 071,2 259,2 259,2.3,2.3
Republicana,jul,1 794,2 002,56,39,156,155,2 180,2 533,2 392,2 727,3.1,1.9
,ago,2 063,2 151,69,64,187,211,2 602,2 793,2 858,3 068,3.3,3.0
,set,1 877,1 830,55,52,178,151,2 282,2 275,2 515,2 478,2.9,2.8
,out,1 829,1 912,47,40,133,136,2 242,2 358,2 422,2 534,2.6,2.1
,nov,1 654,1 776,42,41,101,118,2 005,2 191,2 148,2 350,2.5,2.3
,dez,1 794,1 731,59,39,129,130,2 210,2 124,2 398,2 293,3.3,2.3
,Total,20 174,20 915,548,523,1 487,1 648,24 858,25 879,26 893,28 050,2.7,2.5
,jan,1 101,1 264,10,10,33,33,1 279,1 521,1 322,1 564,0.9,0.8
,fev,1 006,1 061,10,6,33,40,1 180,1 233,1 223,1 279,1.0,0.6
,mar,1 106,1 256,6,11,40,46,1 310,1 461,1 356,1 518,0.5,0.9
,abr,1 010,1 113,10,9,58,31,1 159,1 338,1 227,1 378,1.0,0.8
,mai,1 179,1 318,8,6,37,46,1 400,1 556,1 445,1 608,0.7,0.5
Polícia de Segurança,jun,1 190,1 143,8,6,43,44,1 424,1 363,1 475,1 413,0.7,0.5
Pública,jul,1 199,1 252,9,6,36,46,1 400,1 463,1 445,1 515,0.8,0.5
,ago,1 090,1 135,8,7,33,54,1 313,1 335,1 354,1 396,0.7,0.6
,set,1 240,1 268,18,11,48,63,1 450,1 471,1 516,1 545,1.5,0.9
,out,1 467,1 417,20,11,49,40,1 686,1 612,1 755,1 663,1.4,0.8
,nov,1 231,1 295,7,11,45,45,1 417,1 483,1 469,1 539,0.6,0.8
,dez,1 242,1 267,13,9,53,32,1 459,1 468,1 525,1 509,1.0,0.7
,Total,14 061,14 789,127,103,508,520,16 477,17 304,17 112,17 927,0.9,0.7
Total,,34 235,35 704,675,626,1 995,2 168,41 335,43 183,44 005,45 977,2.0,1.8
