,,,,,Atropelamento,,,,,,Colisão,,,,,,Despiste,,,,,,"Total Veículos
(V)",,,,,,,Veículos,,"V/1000
Vci",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,em,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Circulação,,,,
,,,,,,2018,,,2019,,,2018,,,2019,,,2018,,,2019,,,2018,,,2019,,,(2V0c1i)9*,,,2019,
"Veículo
Ligeiro",,,Passageiros,,3 859,,,3 831,,,24 618,,,25 916,,,6 198,,,6 166,,,34 675,,,35 913,,,,,,,,
,,,Mercadorias,,819,,,790,,,5 044,,,5 337,,,1 319,,,1 321,,,7 182,,,7 448,,,,,,,,
,,,Outros,,45,,,35,,,278,,,310,,,75,,,88,,,398,,,433,,,,,,,,
,,,N.D.,,95,,,103,,,41,,,29,,,11,,,8,,,147,,,140,,,,,,,,
,,,Total,,4 818,,,4 759,,,29 981,,,31 592,,,7 603,,,7 583,,,42 402,,,43 934,,,6 568 716,,,6.69,,
"Veículo
Pesado",,,Passageiros,,92,,,102,,,339,,,337,,,29,,,24,,,460,,,463,,,,,,,,
,,,Mercadorias,,48,,,47,,,674,,,574,,,117,,,128,,,839,,,749,,,,,,,,
,,,Outros,,16,,,18,,,251,,,312,,,58,,,74,,,325,,,404,,,,,,,,
,,,N.D.,,1,,,3,,,0,,,1,,,0,,,0,,,1,,,4,,,,,,,,
,,,Total,,157,,,170,,,1 264,,,1 224,,,204,,,226,,,1 625,,,1 620,,,147 109,,,11.01,,
,Velocípedes,,,,104,,,132,,,1 379,,,1 563,,,573,,,649,,,1 735,,,1 794,,,,,,,,
,Ciclomotores,,,,45,,,69,,,1 399,,,1 327,,,1 046,,,982,,,2 490,,,2 378,,,264 005,,,9.01,,
,Motociclos,,,,172,,,217,,,3 705,,,4 345,,,2 134,,,2 539,,,6 011,,,7 101,,,396 934,,,17.89,,
,Outros,,,,71,,,56,,,320,,,292,,,305,,,318,,,1 017,,,1 216,,,,,,,,
,N.D.,,,,99,,,99,,,90,,,146,,,2,,,11,,,191,,,256,,,,,,,,
Total,,,,,5 466,,,5 502,,,38 138,,,40 489,,,11 867,,,12 308,,,55 471,,,58 299,,,7 376 764,,,,,
