,,<= 14,15 - 19,20 - 24,25 - 29,30 - 34,35 - 39,40 - 44,45 - 49,50 - 54,55 - 59,60 - 64,>=65,N.D.,Total
,2018,1,3,5,3,1,4,4,8,17,14,10,86,0,156
Peões,2019,4,2,3,3,1,3,1,10,5,10,14,78,0,134
,Dif.,3,-1,-2,0,0,-1,-3,2,-12,-4,4,-8,0,-22
,2018,5,4,36,26,18,16,24,14,15,20,24,92,0,294
Veíc. Ligeiros,2019,8,10,31,23,19,17,15,18,12,15,18,96,0,282
,Dif.,3,6,-5,-3,1,1,-9,4,-3,-5,-6,4,0,-12
,2018,0,1,0,0,1,0,1,4,1,0,3,0,0,11
Veíc. Pesados,2019,0,0,0,0,0,0,1,1,2,0,2,2,0,8
,Dif.,0,-1,0,0,-1,0,0,-3,1,0,-1,2,0,-3
,2018,0,2,1,0,2,0,3,2,2,3,2,7,0,24
Velocípedes,2019,0,0,1,1,0,3,2,4,2,3,2,8,0,26
,Dif.,0,-2,0,1,-2,3,-1,2,0,0,0,1,0,2
,2018,0,2,1,2,1,0,1,3,6,5,6,13,0,40
Ciclomotores,2019,1,3,1,1,1,3,2,2,5,2,1,12,0,34
,Dif.,1,1,0,-1,0,3,1,-1,-1,-3,-5,-1,0,-6
,2018,0,6,9,5,18,19,16,18,4,3,3,4,0,105
Motociclos,2019,0,5,13,14,12,19,15,15,9,3,1,9,1,116
,Dif.,0,-1,4,9,-6,0,-1,-3,5,0,-2,5,1,11
,2018,0,1,2,0,1,2,1,6,3,1,4,24,0,45
Outros,2019,1,0,5,1,0,0,1,0,1,1,2,14,0,26
,Dif.,1,-1,3,1,-1,-2,0,-6,-2,0,-2,-10,0,-19
,2018,6,19,54,36,42,41,50,55,48,46,52,226,0,675
Total,2019,14,20,54,43,33,45,37,50,36,34,40,219,1,626
,Dif.,8,1,0,7,-9,4,-13,-5,-12,-12,-12,-7,1,-49
