,,,,FG,,,,,,,,,,,,
,,,,Feminino,,,,,Masculino,,,,Total,,,
,,,,2018,,2019,,,2018,,2019,,2018,,,2019
,<=5,,4,,3,,,7,,5,,11,,,8,
,6 - 9,,2,,0,,,4,,5,,6,,,5,
,10 - 14,,3,,10,,,15,,10,,18,,,20,
,15 - 19,,11,,9,,,9,,8,,20,,,17,
,20 - 24,,13,,11,,,6,,9,,19,,,20,
,25 - 29,,4,,5,,,4,,8,,8,,,13,
,30 - 34,,2,,5,,,3,,4,,5,,,9,
,35 - 39,,6,,1,,,8,,8,,14,,,9,
,40 - 44,,9,,11,,,12,,17,,21,,,28,
,45 - 49,,7,,5,,,8,,15,,15,,,20,
,50 - 54,,15,,14,,,14,,14,,29,,,28,
,55 - 59,,16,,8,,,19,,23,,35,,,31,
,60 - 64,,15,,19,,,12,,11,,27,,,30,
,65 - 69,,16,,20,,,16,,20,,32,,,40,
,70 - 74,,19,,29,,,12,,24,,31,,,53,
,>=75,,57,,38,,,40,,40,,97,,,78,
,Total,,,199,,188,,,189,,221,,388,,,409
