,,,,,VM,,,,,,FG,,,,,,FL,,,,,,Total de Vítimas,,,,
,,,,,2018,,,2019,,,2018,,,2019,,,2018,,,2019,,,2018,,,2019,
"Dentro das
localidades",,Arruamento,,103,,,85,,,315,,,310,,,4 593,,,4 747,,,5 011,,,5 142,,
,,Estrada Municipal,,2,,,3,,,8,,,4,,,55,,,22,,,65,,,29,,
,,Estrada Nacional,,18,,,16,,,28,,,39,,,262,,,207,,,308,,,262,,
,,IP/IC,,1,,,1,,,1,,,2,,,7,,,5,,,9,,,8,,
,,Outra Via *,,2,,,4,,,7,,,15,,,76,,,98,,,85,,,117,,
,,Total,,,126,,,109,,,359,,,370,,,4 993,,,5 079,,,5 478,,,5 558,
"Fora das
localidades",,Autoestrada,,6,,,6,,,2,,,7,,,22,,,18,,,30,,,31,,
,,Estrada Municipal,,3,,,0,,,6,,,6,,,20,,,9,,,29,,,15,,
,,Estrada Nacional,,16,,,11,,,12,,,14,,,53,,,48,,,81,,,73,,
,,IP/IC,,5,,,6,,,6,,,6,,,9,,,3,,,20,,,15,,
,,Outra Via *,,0,,,2,,,3,,,6,,,11,,,23,,,14,,,31,,
,,Total,,,30,,,25,,,29,,,39,,,115,,,101,,,174,,,165,
Total,,Arruamento,,103,,,85,,,315,,,310,,,4 593,,,4 747,,,5 011,,,5 142,,
,,Autoestrada,,6,,,6,,,2,,,7,,,22,,,18,,,30,,,31,,
,,Estrada Municipal,,5,,,3,,,14,,,10,,,75,,,31,,,94,,,44,,
,,Estrada Nacional,,34,,,27,,,40,,,53,,,315,,,255,,,389,,,335,,
,,IP/IC,,6,,,7,,,7,,,8,,,16,,,8,,,29,,,23,,
,,Outra Via *,,2,,,6,,,10,,,21,,,87,,,121,,,99,,,148,,
,,Total,,,156,,,134,,,388,,,409,,,5 108,,,5 180,,,5 652,,,5 723,
