,,,,,VM,,,,,,FG,,,,,,FL,,,,,Total de Vítimas,,,
,,,,,2018,,,2019,,,2018,,,2019,,,2018,,2019,,,2018,,2019,
Dentro das localidades,,Dia,,72,,,65,,,227,,,234,,,3 484,,3 582,,,3 783,,,3 881,
,,Noite,,51,,,40,,,124,,,112,,,1 359,,1 292,,,1 534,,,1 444,
,,Aurora/Crepúsculo,,3,,,4,,,8,,,24,,,150,,202,,,161,,,230,
,,N.D.,,0,,,0,,,0,,,0,,,0,,3,,,0,,,3,
,,Total,,,126,,,109,,,359,,,370,,,4 993,,5 079,,,5 478,,5 558,
Fora das localidades,,Dia,,10,,,8,,,18,,,19,,,67,,56,,,95,,,83,
,,Noite,,19,,,17,,,11,,,18,,,45,,42,,,75,,,77,
,,Aurora/Crepúsculo,,1,,,0,,,0,,,2,,,3,,3,,,4,,,5,
,,N.D.,,0,,,0,,,0,,,0,,,0,,0,,,0,,,0,
,,Total,,,30,,,25,,,29,,,39,,,115,,101,,,174,,165,
Total,,Dia,,82,,,73,,,245,,,253,,,3 551,,3 638,,,3 878,,,3 964,
,,Noite,,70,,,57,,,135,,,130,,,1 404,,1 334,,,1 609,,,1 521,
,,Aurora/Crepúsculo,,4,,,4,,,8,,,26,,,153,,205,,,165,,,235,
,,N.D.,,0,,,0,,,0,,,0,,,0,,3,,,0,,,3,
,,Total,,,156,,,134,,,388,,,409,,,5 108,,5 180,,,5 652,,5 723,
