,,,,VM,,,,,,FG,,,,,FL,,,,Total de Vítimas,,,,
,,,,2018,,,2019,,,2018,,2019,,,2018,,2019,,2018,,,2019,
Dentro das localidades,,00 - 03,7,,,5,,,8,,4,,,78,,,76,93,,,85,,
,,03 - 06,2,,,1,,,5,,6,,,51,,,32,58,,,39,,
,,06 - 09,20,,,8,,,37,,50,,,572,,,580,629,,,638,,
,,09 - 12,17,,,18,,,58,,57,,,875,,,901,950,,,976,,
,,12 - 15,14,,,11,,,43,,59,,,851,,,839,908,,,909,,
,,15 - 18,23,,,28,,,84,,68,,,1 056,,,1 169,1 163,,,1 265,,
,,18 - 21,31,,,29,,,90,,93,,,1 206,,,1 189,1 327,,,1 311,,
,,21 - 24,12,,,9,,,34,,33,,,304,,,293,350,,,335,,
,,Total,,126,,,109,,,359,,373,,,4 993,,5 079,,5 478,,,5 558,
Fora das localidades,,00 - 03,6,,,2,,,0,,4,,,3,,,8,9,,,14,,
,,03 - 06,3,,,1,,,3,,1,,,7,,,2,13,,,4,,
,,06 - 09,3,,,0,,,4,,6,,,9,,,14,16,,,20,,
,,09 - 12,0,,,2,,,0,,2,,,12,,,14,12,,,18,,
,,12 - 15,2,,,3,,,4,,3,,,10,,,12,16,,,18,,
,,15 - 18,3,,,3,,,7,,7,,,31,,,14,41,,,24,,
,,18 - 21,9,,,10,,,10,,11,,,33,,,28,52,,,49,,
,,21 - 24,4,,,4,,,1,,5,,,10,,,9,15,,,18,,
,,Total,,30,,,25,,,29,,39,,,115,,101,,174,,,165,
Total,,00 - 03,13,,,7,,,8,,8,,,81,,,84,102,,,99,,
,,03 - 06,5,,,2,,,8,,7,,,58,,,34,71,,,43,,
,,06 - 09,23,,,8,,,41,,56,,,581,,,594,645,,,658,,
,,09 - 12,17,,,20,,,58,,59,,,887,,,915,962,,,994,,
,,12 - 15,16,,,14,,,47,,62,,,861,,,851,924,,,927,,
,,15 - 18,26,,,31,,,91,,75,,,1 087,,,1 183,1 204,,,1 289,,
,,18 - 21,40,,,39,,,100,,104,,,1 239,,,1 217,1 379,,,1 360,,
,,21 - 24,16,,,13,,,35,,38,,,314,,,302,365,,,353,,
,,Total,,156,,,134,,,388,,156,,,5 108,,5 180,,5 652,,,5 723,
