,,VM,,FG,,FL,,Total de Vítimas,
,,2018,2019,2018,2019,2018,2019,2018,2019
,A sair ou entrar num veículo,17,3,52,15,463,151,532,169
,Atravessando em passagem,23,20,113,140,2 219,2 401,2 355,2 561
,sinalizada,,,,,,,,
,Atravessando em passagem,2,2,7,6,94,108,103,116
,sinalizada com desrespeito da,,,,,,,,
,sinalização semafórica,,,,,,,,
,Atravessando fora da passagem,17,19,27,50,335,388,379,457
,de peões a mais de 50m de uma,,,,,,,,
,passagem ou quando não exista,,,,,,,,
,passagem,,,,,,,,
,Atravessando fora da passagem,18,8,44,40,510,523,572,571
,"de peões, a menos de 50m de uma",,,,,,,,
,passagem,,,,,,,,
Total,Em ilhéu ou refúgio na via,2,1,3,4,56,45,61,50
,Em plena faixa de rodagem,48,43,50,68,572,555,670,666
,Em trabalhos na via,1,1,3,7,45,55,49,63
,Surgindo inesperadamente na,8,7,26,25,232,282,266,314
,faixa de rodagem de trás de um,,,,,,,,
,obstáculo,,,,,,,,
,Transitando pela berma ou,15,22,35,35,376,465,426,522
,passeio,,,,,,,,
,Transitando pela direita da faixa,1,6,14,13,124,123,139,142
,de rodagem,,,,,,,,
,Transitando pela esquerda da,3,1,6,6,40,59,49,66
,faixa de rodagem,,,,,,,,
,NÃO DEFINIDO,1,1,8,0,42,25,51,26
,Total,156,134,388,409,5 108,5 180,5 652,5 723
