,,,FG,,,,,,,,,,,,,,
,,,Feminino,,,,,,Masculino,,,,Total,,,,
,,,2018,,,2019,,,2018,,2019,,2018,,,2019,
,<=5,5,,,3,,,0,,6,,5,,,9,,
,6 - 9,5,,,8,,,3,,6,,8,,,14,,
,10 - 14,5,,,4,,,7,,12,,12,,,16,,
,15 - 19,17,,,19,,,29,,28,,46,,,47,,
,20 - 24,18,,,17,,,29,,34,,47,,,51,,
,25 - 29,15,,,17,,,15,,13,,30,,,30,,
,30 - 34,11,,,12,,,19,,13,,30,,,25,,
,35 - 39,14,,,8,,,9,,15,,23,,,23,,
,40 - 44,14,,,11,,,9,,15,,23,,,26,,
,45 - 49,12,,,10,,,8,,6,,20,,,16,,
,50 - 54,9,,,10,,,7,,9,,16,,,19,,
,55 - 59,12,,,12,,,13,,4,,25,,,16,,
,60 - 64,10,,,11,,,8,,2,,18,,,13,,
,65 - 69,14,,,17,,,6,,7,,20,,,24,,
,70 - 74,24,,,17,,,5,,15,,29,,,32,,
,>=75,24,,,25,,,11,,5,,35,,,30,,
,Total,199,,,190,,,175,,178,,374,,,368,,
