,,,,VM,,,,,,FG,,,,,FL,,,,Total de Vítimas,,,
,,,,2018,,,2019,,,2018,,2019,,,2018,,,2019,2018,,2019,
,00 - 03,,4,,,9,,,38,,,35,,513,,,494,,555,,538,
,03 - 06,,6,,,8,,,25,,,24,,277,,,279,,308,,311,
,06 - 09,,17,,,9,,,47,,,33,,936,,,993,,1 000,,1 035,
,09 - 12,,12,,,15,,,45,,,29,,1 468,,,1 364,,1 525,,1 408,
,12 - 15,,13,,,13,,,44,,,50,,1 598,,,1 752,,1 655,,1 815,
,15 - 18,,17,,,28,,,81,,,78,,2 375,,,2 424,,2 473,,2 530,
,18 - 21,,11,,,14,,,56,,,60,,1 938,,,1 998,,2 005,,2 072,
,21 - 24,,4,,,13,,,38,,,59,,941,,,945,,983,,1 017,
,Total,,84,,,109,,,374,,,368,,10 046,,,10 249,,10 504,,10 726,
