,,,,FG,,,,,,,,,,,,,,,,,
,,,,Feminino,,,,,Masculino,,,,N.D.,,,,,Total,,,
,,,,2018,,2019,,,2018,,2019,,2018,,,2019,,2018,,2019,
,<= 5,,0,,,0,,0,,,0,0,,,0,,,0,,,
,5 - 9,,0,,,0,,0,,,0,0,,,0,,,0,,,
,10 - 14,,1,,,0,,10,,,7,0,,,0,,,11,,,
,15 - 19,,5,,,4,,55,,,54,0,,,0,,,60,,,
,20 - 24,,25,,,14,,99,,,108,0,,,0,,,124,,,
,25 - 29,,28,,,19,,106,,,133,0,,,0,,,134,,,
,30 - 34,,12,,,21,,92,,,114,0,,,0,,,104,,,
,35 - 39,,10,,,16,,88,,,133,0,,,0,,,98,,,
,40 - 44,,9,,,20,,108,,,131,0,,,0,,,117,,,
,45 - 49,,22,,,15,,105,,,103,0,,,0,,,127,,,
,50 - 54,,12,,,16,,107,,,83,0,,,0,,,119,,,
,55 - 59,,23,,,14,,81,,,75,0,,,0,,,104,,,
,60 - 64,,13,,,11,,59,,,81,0,,,0,,,72,,,
,65 - 69,,12,,,9,,36,,,60,0,,,0,,,48,,,
,70 - 74,,5,,,9,,44,,,43,0,,,0,,,49,,,
,>=75,,5,,,3,,60,,,89,0,,,0,,,65,,,
,N.D.,,0,,,0,,1,,,2,0,,,4,,,1,,,
,Total,,182,,,171,,1 051,,,1 216,0,,,4,,,1 233,,,
