,,,,VM,,,,,FG,,,FL,,,,,Total de Vítimas,,,,
,,,,2018,,2019,,,2018,2019,,2018,,2019,,,2018,,,2019,
,Jan,,33,,,36,,69,,81,,1 911,,2 118,,2 013,,,2 235,,
,Fev,,31,,,33,,67,,82,,1 783,,1 824,,1 881,,,1 939,,
,Mar,,23,,,27,,84,,104,,2 044,,2 161,,2 151,,,2 292,,
,Abr,,29,,,26,,89,,102,,1 891,,2 139,,2 009,,,2 267,,
,Mai,,28,,,36,,111,,138,,2 166,,2 462,,2 305,,,2 636,,
,Jun,,26,,,29,,97,,123,,2 298,,2 255,,2 421,,,2 407,,
,Jul,,46,,,29,,129,,141,,2 351,,2 698,,2 526,,,2 868,,
,Ago,,56,,,44,,139,,166,,2 476,,2 605,,2 671,,,2 815,,
,Set,,50,,,38,,156,,127,,2 410,,2 420,,2 616,,,2 585,,
,Out,,44,,,24,,118,,121,,2 498,,2 636,,2 660,,,2 781,,
,Nov,,29,,,32,,75,,100,,2 122,,2 242,,2 226,,,2 374,,
,Dez,,40,,,29,,99,,106,,2 231,,2 194,,2 370,,,2 329,,
,Total,,,435,,383,,,1 233,1 391,,26 181,,27 754,,,27 849,,,29 528,
