,,,,Acidentes,,VM,,,,,FG,,,,,FL,,,,,Total de Vítimas,,,
,,,,2018,2019,2018,,,2019,,2018,,2019,,,2018,,,2019,,2018,,2019,
,Aveiro,,2 679,,2 815,41,,42,,,114,,135,,3 208,,,3 362,,,3 363,,3 539,
,Beja,,453,,468,28,,37,,,81,,68,,538,,,566,,,647,,671,
,Braga,,3 139,,3 180,38,,45,,,129,,153,,3 923,,,3 988,,,4 090,,4 186,
,Bragança,,402,,412,12,,8,,,43,,48,,462,,,488,,,517,,544,
,Castelo Branco,,521,,527,15,,14,,,63,,66,,615,,,628,,,693,,708,
,Coimbra,,1 503,,1 624,32,,40,,,83,,79,,1 822,,,1 952,,,1 937,,2 071,
,Évora,,424,,444,19,,17,,,55,,71,,529,,,545,,,603,,633,
,Faro,,1 977,,2 154,44,,44,,,196,,214,,2 275,,,2 449,,,2 515,,2 707,
,Guarda,,407,,433,23,,19,,,40,,58,,483,,,509,,,546,,586,
,Leiria,,1 807,,1 822,48,,45,,,144,,123,,2 158,,,2 132,,,2 350,,2 300,
,Lisboa,,7 999,,8 232,88,,76,,,260,,337,,9 494,,,9 820,,,9 842,,10 233,
,Portalegre,,295,,303,12,,17,,,59,,52,,373,,,365,,,444,,434,
,Porto,,5 869,,6 245,79,,79,,,181,,205,,7 208,,,7 738,,,7 468,,8 022,
,Santarém,,1 455,,1 612,52,,41,,,195,,211,,1 780,,,1 953,,,2 027,,2 205,
,Setúbal,,2 592,,2 605,74,,32,,,156,,159,,3 148,,,3 183,,,3 378,,3 374,
,Viana do Castelo,,840,,859,15,,18,,,45,,53,,1 051,,,1 038,,,1 111,,1 109,
,Vila Real,,612,,654,28,,14,,,58,,46,,732,,,863,,,818,,923,
,Viseu,,1 261,,1 315,27,,38,,,93,,90,,1 536,,,1 604,,,1 656,,1 732,
,Total,,34 235,,35 704,675,,626,,,1 995,,2 168,,41 335,,,43 183,,,44 005,,45 977,
