year,source_file,page,table_index,rows,cols,provavel_ruido,csv_path,first_row_preview
1999,Relatório Anual 1999 (PDF).pdf,0,0,3,1,True,data/processed/pdf_raw/1999/p000_t0.csv,
1999,Relatório Anual 1999 (PDF).pdf,2,0,3,1,True,data/processed/pdf_raw/1999/p002_t0.csv,
1999,Relatório Anual 1999 (PDF).pdf,6,0,3,1,True,data/processed/pdf_raw/1999/p006_t0.csv,
1999,Relatório Anual 1999 (PDF).pdf,6,1,27,16,False,data/processed/pdf_raw/1999/p006_t1.csv,"Acidentes
com
vítimas | Acidentes
com mortos
e/ou f. graves | Acidentes
com
mort"
1999,Relatório Anual 1999 (PDF).pdf,7,0,7,21,False,data/processed/pdf_raw/1999/p007_t0.csv,
1999,Relatório Anual 1999 (PDF).pdf,7,1,10,25,False,data/processed/pdf_raw/1999/p007_t1.csv,
1999,Relatório Anual 1999 (PDF).pdf,7,2,9,25,False,data/processed/pdf_raw/1999/p007_t2.csv,
1999,Relatório Anual 1999 (PDF).pdf,9,0,59,10,False,data/processed/pdf_raw/1999/p009_t0.csv,
1999,Relatório Anual 1999 (PDF).pdf,10,0,7,8,False,data/processed/pdf_raw/1999/p010_t0.csv,
1999,Relatório Anual 1999 (PDF).pdf,10,1,7,9,False,data/processed/pdf_raw/1999/p010_t1.csv,
1999,Relatório Anual 1999 (PDF).pdf,11,0,7,50,False,data/processed/pdf_raw/1999/p011_t0.csv,
1999,Relatório Anual 1999 (PDF).pdf,12,0,23,10,False,data/processed/pdf_raw/1999/p012_t0.csv,
1999,Relatório Anual 1999 (PDF).pdf,12,1,8,15,False,data/processed/pdf_raw/1999/p012_t1.csv,
1999,Relatório Anual 1999 (PDF).pdf,12,2,3,2,False,data/processed/pdf_raw/1999/p012_t2.csv,"83,7 86,6
74,3
21,4
13,4 11,3
2,9 2,1 4,3"
1999,Relatório Anual 1999 (PDF).pdf,12,3,2,2,False,data/processed/pdf_raw/1999/p012_t3.csv,
1999,Relatório Anual 1999 (PDF).pdf,12,4,1,2,True,data/processed/pdf_raw/1999/p012_t4.csv,
1999,Relatório Anual 1999 (PDF).pdf,13,0,5,26,False,data/processed/pdf_raw/1999/p013_t0.csv,"1145
1139 1104
1070
1022
486 480
460 475 413 422 439 383
356 345"
1999,Relatório Anual 1999 (PDF).pdf,13,1,9,27,False,data/processed/pdf_raw/1999/p013_t1.csv,"5839 5718
5172
4479
4115
2865
2651
2525 2473 2190
1987 2045
1973
1711
1537"
1999,Relatório Anual 1999 (PDF).pdf,14,0,6,30,False,data/processed/pdf_raw/1999/p014_t0.csv,"32586 32901 32253
9689 30574
17680 18017 17379 18540 18532
7229 7194 7216 6985 6"
1999,Relatório Anual 1999 (PDF).pdf,15,0,27,10,False,data/processed/pdf_raw/1999/p015_t0.csv,
1999,Relatório Anual 1999 (PDF).pdf,15,1,7,18,False,data/processed/pdf_raw/1999/p015_t1.csv,"10144 10147
9611
9023 8756 9052 8727"
1999,Relatório Anual 1999 (PDF).pdf,16,0,27,10,False,data/processed/pdf_raw/1999/p016_t0.csv,
1999,Relatório Anual 1999 (PDF).pdf,16,1,2,2,False,data/processed/pdf_raw/1999/p016_t1.csv,
