concelho,distrito,populacao_residente_2021
Arcos de Valdevez,Viana do Castelo,20718
Caminha,Viana do Castelo,15797
Melgaço,Viana do Castelo,7773
Monção,Viana do Castelo,17816
Paredes de Coura,Viana do Castelo,8632
Ponte da Barca,Viana do Castelo,11044
Ponte de Lima,Viana do Castelo,41164
Valença,Viana do Castelo,13623
Viana do Castelo,Viana do Castelo,85778
Vila Nova de Cerveira,Viana do Castelo,8921
Amares,Braga,18595
Barcelos,Braga,116752
Braga,Braga,193324
Esposende,Braga,35132
Terras de Bouro,Braga,6358
Vila Verde,Braga,46444
Cabeceiras de Basto,Braga,15558
Fafe,Braga,48497
Guimarães,Braga,156830
Mondim de Basto,Vila Real,6410
Póvoa de Lanhoso,Braga,21775
Vieira do Minho,Braga,11955
Vila Nova de Famalicão,Braga,133534
Vizela,Braga,23896
Arouca,Aveiro,21146
Espinho,Aveiro,31043
Gondomar,Porto,164257
Maia,Porto,134977
Matosinhos,Porto,172557
Oliveira de Azeméis,Aveiro,66175
Paredes,Porto,84354
Porto,Porto,231800
Póvoa de Varzim,Porto,64255
Santa Maria da Feira,Aveiro,136674
Santo Tirso,Porto,67709
São João da Madeira,Aveiro,22143
Trofa,Porto,38548
Vale de Cambra,Aveiro,21269
Valongo,Porto,94672
Vila do Conde,Porto,80825
Vila Nova de Gaia,Porto,303824
Boticas,Vila Real,5000
Chaves,Vila Real,37590
Montalegre,Vila Real,9261
Ribeira de Pena,Vila Real,5884
Valpaços,Vila Real,14701
Vila Pouca de Aguiar,Vila Real,11812
Amarante,Porto,52116
Baião,Porto,17534
Castelo de Paiva,Aveiro,15586
Celorico de Basto,Braga,17643
Cinfães,Viseu,17730
Felgueiras,Porto,55848
Lousada,Porto,47364
Marco de Canaveses,Porto,49541
Paços de Ferreira,Porto,55595
Penafiel,Porto,69629
Resende,Viseu,10051
Alijó,Vila Real,10486
Armamar,Viseu,5678
Carrazeda de Ansiães,Bragança,5490
Freixo de Espada à Cinta,Bragança,3216
Lamego,Viseu,24312
Mesão Frio,Vila Real,3547
Moimenta da Beira,Viseu,9410
Murça,Vila Real,5245
Penedono,Viseu,2738
Peso da Régua,Vila Real,14540
Sabrosa,Vila Real,5548
Santa Marta de Penaguião,Vila Real,6100
São João da Pesqueira,Viseu,6775
Sernancelhe,Viseu,5692
Tabuaço,Viseu,5034
Tarouca,Viseu,7363
Torre de Moncorvo,Bragança,6826
Vila Nova de Foz Côa,Guarda,6304
Vila Real,Vila Real,49571
Alfândega da Fé,Bragança,4324
Bragança,Bragança,34582
Macedo de Cavaleiros,Bragança,14251
Miranda do Douro,Bragança,6463
Mirandela,Bragança,21384
Mogadouro,Bragança,8301
Vila Flor,Bragança,6050
Vimioso,Bragança,4149
Vinhais,Bragança,7768
Alcobaça,Leiria,54965
Alenquer,Lisboa,44442
Arruda dos Vinhos,Lisboa,13992
Bombarral,Leiria,12746
Cadaval,Lisboa,13372
Caldas da Rainha,Leiria,50910
Lourinhã,Lisboa,26240
Nazaré,Leiria,14881
Óbidos,Leiria,11922
Peniche,Leiria,26429
Sobral de Monte Agraço,Lisboa,10540
Torres Vedras,Lisboa,83072
Águeda,Aveiro,46119
Albergaria-a-Velha,Aveiro,24840
Anadia,Aveiro,27532
Aveiro,Aveiro,80954
Estarreja,Aveiro,26213
Ílhavo,Aveiro,39235
Murtosa,Aveiro,10476
Oliveira do Bairro,Aveiro,23132
Ovar,Aveiro,54953
Sever do Vouga,Aveiro,11063
Vagos,Aveiro,22886
Arganil,Coimbra,11065
Cantanhede,Coimbra,34212
Coimbra,Coimbra,140816
Condeixa-a-Nova,Coimbra,16732
Figueira da Foz,Coimbra,58951
Góis,Coimbra,3811
Lousã,Coimbra,17006
Mealhada,Aveiro,19348
Mira,Coimbra,12113
Miranda do Corvo,Coimbra,12002
Montemor-o-Velho,Coimbra,24571
Mortágua,Viseu,8963
Oliveira do Hospital,Coimbra,19413
Pampilhosa da Serra,Coimbra,4082
Penacova,Coimbra,13113
Penela,Coimbra,5440
Soure,Coimbra,17261
Tábua,Coimbra,11160
Vila Nova de Poiares,Coimbra,6803
Alvaiázere,Leiria,6238
Ansião,Leiria,11642
Batalha,Leiria,15557
Castanheira de Pêra,Leiria,2645
Figueiró dos Vinhos,Leiria,5281
Leiria,Leiria,128603
Marinha Grande,Leiria,39024
Pedrógão Grande,Leiria,3390
Pombal,Leiria,51170
Porto de Mós,Leiria,23202
Aguiar da Beira,Guarda,5231
Carregal do Sal,Viseu,9038
Castro Daire,Viseu,13736
Mangualde,Viseu,18303
Nelas,Viseu,13119
Oliveira de Frades,Viseu,9506
Penalva do Castelo,Viseu,7333
Santa Comba Dão,Viseu,10641
São Pedro do Sul,Viseu,15137
Sátão,Viseu,11030
Tondela,Viseu,25910
Vila Nova de Paiva,Viseu,4662
Viseu,Viseu,99551
Vouzela,Viseu,9580
Castelo Branco,Castelo Branco,52272
Idanha-a-Nova,Castelo Branco,8355
Oleiros,Castelo Branco,4904
Penamacor,Castelo Branco,4768
Proença-a-Nova,Castelo Branco,7167
Vila Velha de Ródão,Castelo Branco,3285
Abrantes,Santarém,34329
Alcanena,Santarém,12472
Constância,Santarém,3798
Entroncamento,Santarém,20141
Ferreira do Zêzere,Santarém,7800
Mação,Santarém,6402
Ourém,Santarém,44538
Sardoal,Santarém,3513
Sertã,Castelo Branco,14769
Tomar,Santarém,36413
Torres Novas,Santarém,34111
Vila de Rei,Castelo Branco,3279
Vila Nova da Barquinha,Santarém,7016
Almeida,Guarda,5887
Belmonte,Castelo Branco,6205
Celorico da Beira,Guarda,6583
Covilhã,Castelo Branco,46455
Figueira de Castelo Rodrigo,Guarda,5148
Fornos de Algodres,Guarda,4403
Fundão,Castelo Branco,26503
Gouveia,Guarda,12222
Guarda,Guarda,40117
Manteigas,Guarda,2909
Mêda,Guarda,4630
Pinhel,Guarda,8092
Sabugal,Guarda,11280
Seia,Guarda,21755
Trancoso,Guarda,8413
Alcochete,Setúbal,19143
Almada,Setúbal,177238
Amadora,Lisboa,171454
Barreiro,Setúbal,78345
Cascais,Lisboa,214124
Lisboa,Lisboa,545796
Loures,Lisboa,201590
Mafra,Lisboa,86515
Moita,Setúbal,66255
Montijo,Setúbal,55682
Odivelas,Lisboa,148034
Oeiras,Lisboa,171658
Palmela,Setúbal,68852
Seixal,Setúbal,166507
Sesimbra,Setúbal,52384
Setúbal,Setúbal,123496
Sintra,Lisboa,385606
Vila Franca de Xira,Lisboa,137529
Alcácer do Sal,Setúbal,11112
Grândola,Setúbal,13822
Odemira,Beja,29538
Santiago do Cacém,Setúbal,27772
Sines,Setúbal,14198
Aljustrel,Beja,8874
Almodôvar,Beja,6712
Alvito,Beja,2280
Barrancos,Beja,1438
Beja,Beja,33394
Castro Verde,Beja,6873
Cuba,Beja,4373
Ferreira do Alentejo,Beja,7684
Mértola,Beja,6206
Moura,Beja,13258
Ourique,Beja,4839
Serpa,Beja,13757
Vidigueira,Beja,5175
Almeirim,Santarém,22012
Alpiarça,Santarém,6975
Azambuja,Lisboa,21421
Benavente,Santarém,29709
Cartaxo,Santarém,23186
Chamusca,Santarém,8530
Coruche,Santarém,17355
Golegã,Santarém,5400
Rio Maior,Santarém,21004
Salvaterra de Magos,Santarém,21607
Santarém,Santarém,58662
Alter do Chão,Portalegre,3044
Arronches,Portalegre,2789
Avis,Portalegre,3812
Campo Maior,Portalegre,8042
Castelo de Vide,Portalegre,3116
Crato,Portalegre,3225
Elvas,Portalegre,20730
Fronteira,Portalegre,2858
Gavião,Portalegre,3394
Marvão,Portalegre,3021
Monforte,Portalegre,2992
Nisa,Portalegre,5952
Ponte de Sor,Portalegre,15248
Portalegre,Portalegre,22340
Sousel,Portalegre,4360
Alandroal,Évora,5014
Arraiolos,Évora,6606
Borba,Évora,6428
Estremoz,Évora,12680
Évora,Évora,53577
Montemor-o-Novo,Évora,15799
Mora,Évora,4135
Mourão,Évora,2351
Portel,Évora,5747
Redondo,Évora,6286
Reguengos de Monsaraz,Évora,9871
Vendas Novas,Évora,11245
Viana do Alentejo,Évora,5318
Vila Viçosa,Évora,7387
Albufeira,Faro,44164
Alcoutim,Faro,2523
Aljezur,Faro,6045
Castro Marim,Faro,6439
Faro,Faro,67622
Lagoa,Faro,23725
Lagos,Faro,33494
Loulé,Faro,72332
Monchique,Faro,5462
Olhão,Faro,44614
Portimão,Faro,59845
São Brás de Alportel,Faro,11248
Silves,Faro,37766
Tavira,Faro,27523
Vila do Bispo,Faro,5717
Vila Real de Santo António,Faro,18824
