report_year,scope,month,month_num,acidentes_com_vitimas,vitimas_mortais,feridos_graves,feridos_leves
2020,Continente,Janeiro,1,2657,30,132,3198
2020,Continente,Fevereiro,2,2434,23,174,2924
2020,Continente,Março,3,1670,29,102,1925
2020,Continente,Abril,4,882,16,62,956
2020,Continente,Maio,5,1781,33,155,1969
2020,Continente,Junho,6,2140,36,156,2452
2020,Continente,Julho,7,2727,49,212,3153
2020,Continente,Agosto,8,2745,40,212,3266
2020,Continente,Setembro,9,2562,46,166,2986
2020,Continente,Outubro,10,2438,37,164,2755
2020,Continente,Novembro,11,2146,25,136,2452
2020,Continente,Dezembro,12,2319,26,158,2670
2021,Continente,Janeiro,1,1599,24,94,1798
2021,Continente,Fevereiro,2,1101,10,71,1209
2021,Continente,Março,3,1730,19,132,1964
2021,Continente,Abril,4,2148,21,151,2458
2021,Continente,Maio,5,2630,34,189,3101
2021,Continente,Junho,6,2732,34,204,3193
2021,Continente,Julho,7,2877,45,209,3442
2021,Continente,Agosto,8,3031,56,218,3682
2021,Continente,Setembro,9,2822,43,228,3327
2021,Continente,Outubro,10,3112,40,225,3631
2021,Continente,Novembro,11,2755,32,196,3216
2021,Continente,Dezembro,12,2680,32,189,3196
2022,Continente,Janeiro,1,2221,40,164,2543
2022,Continente,Fevereiro,2,2214,30,146,2557
2022,Continente,Março,3,2337,29,162,2725
2022,Continente,Abril,4,2551,30,170,3007
2022,Continente,Maio,5,2984,44,246,3475
2022,Continente,Junho,6,2754,36,179,3252
2022,Continente,Julho,7,3271,40,250,3823
2022,Continente,Agosto,8,3184,60,248,3899
2022,Continente,Setembro,9,3033,43,205,3555
2022,Continente,Outubro,10,2914,39,168,3395
2022,Continente,Novembro,11,2768,30,152,3236
2022,Continente,Dezembro,12,2557,41,153,2989
2023,Continente,Janeiro,1,2668,42,171,3127
2023,Continente,Fevereiro,2,2314,28,158,2676
2023,Continente,Março,3,2685,31,167,3114
2023,Continente,Abril,4,2848,53,221,3354
2023,Continente,Maio,5,3016,34,181,3472
2023,Continente,Junho,6,3052,45,230,3532
2023,Continente,Julho,7,3352,47,274,4016
2023,Continente,Agosto,8,3382,41,280,4073
2023,Continente,Setembro,9,3076,51,203,3645
2023,Continente,Outubro,10,3015,38,191,3499
2023,Continente,Novembro,11,2824,21,170,3318
2023,Continente,Dezembro,12,2742,36,191,3232
2024,Continente,Janeiro,1,2672,34,179,3108
2024,Continente,Fevereiro,2,2616,36,172,3075
2024,Continente,Março,3,2649,33,166,3094
2024,Continente,Abril,4,2935,32,217,3367
2024,Continente,Maio,5,3194,44,224,3714
2024,Continente,Junho,6,3104,36,230,3632
2024,Continente,Julho,7,3407,52,267,3971
2024,Continente,Agosto,8,3221,49,269,3879
2024,Continente,Setembro,9,3198,44,233,3783
2024,Continente,Outubro,10,3218,32,199,3843
2024,Continente,Novembro,11,2964,31,206,3520
2024,Continente,Dezembro,12,3160,40,214,3697
