Quadro 1.10 Sinistralidade em Portugal por distrito,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Distrito,AcV,,,VM,,,FG,,,FL,,
,2019,2020,"∆(%) 
20/19",2019,2020,"∆(%) 
20/19",2019,2020,"∆(%) 
20/19",2019,2020,"∆(%) 
20/19"
Aveiro,2815,2126,-0.24476021314387209,42,28,-0.33333333333333337,135,115,-0.14814814814814814,3362,2465,-0.2668054729327781
Beja,468,372,-0.20512820512820518,37,20,-0.45945945945945943,68,73,0.07352941176470584,566,428,-0.2438162544169611
Braga,3180,2463,-0.22547169811320755,45,27,-0.4,153,128,-0.1633986928104575,3988,2915,-0.26905717151454367
Bragança,412,264,-0.35922330097087374,8,5,-0.375,48,37,-0.22916666666666663,488,293,-0.39959016393442626
C. Branco,527,462,-0.12333965844402273,14,17,0.2142857142857142,66,80,0.21212121212121215,628,491,-0.21815286624203822
Coimbra,1624,1236,-0.23891625615763545,40,24,-0.4,79,77,-0.025316455696202556,1952,1447,-0.25870901639344257
Évora,444,328,-0.26126126126126126,17,13,-0.23529411764705888,71,43,-0.3943661971830986,545,393,-0.27889908256880735
Faro,2154,1540,-0.28505106778087275,44,33,-0.25,214,153,-0.2850467289719626,2449,1676,-0.3156390363413638
Guarda,433,342,-0.210161662817552,19,15,-0.21052631578947367,58,43,-0.2586206896551724,509,363,-0.28683693516699416
Leiria,1822,1283,-0.2958287596048299,45,34,-0.24444444444444446,123,84,-0.31707317073170727,2132,1482,-0.30487804878048785
Lisboa,8232,5704,-0.3070942662779398,76,79,0.03947368421052633,337,236,-0.2997032640949555,9820,6529,-0.33513238289205705
Portalegre,303,241,-0.20462046204620465,17,16,-0.05882352941176472,52,49,-0.05769230769230771,365,281,-0.23013698630136992
Porto,6245,4692,-0.24867894315452366,79,59,-0.25316455696202533,205,157,-0.23414634146341462,7738,5557,-0.2818557766864823
Santarém,1612,1185,-0.26488833746898266,41,44,0.07317073170731714,211,147,-0.3033175355450237,1953,1385,-0.2908346134152586
Setúbal,2605,2049,-0.21343570057581573,32,39,0.21875,159,133,-0.16352201257861632,3183,2379,-0.25259189443920826
V. Castelo,859,635,-0.2607683352735739,18,23,0.2777777777777777,53,52,-0.018867924528301883,1038,743,-0.28420038535645475
Vila Real,654,532,-0.1865443425076453,14,11,-0.2142857142857143,46,42,-0.08695652173913049,863,650,-0.24681344148319817
Viseu,1315,1047,-0.20380228136882128,38,22,-0.42105263157894735,90,74,-0.1777777777777778,1604,1216,-0.24189526184538657
RA Açores,611,501,-0.18003273322422264,21,17,-0.19047619047619047,106,89,-0.160377358490566,686,538,-0.2157434402332361
RA Madeira,936,723,-0.22756410256410253,41,10,-0.7560975609756098,109,65,-0.4036697247706422,1065,827,-0.22347417840375583
Total,37251,27725,-0.25572467853212,688,536,-0.22093023255813948,2383,1877,-0.2123373898447335,44934,32058,-0.28655361196421414
