Quadro 1.3  Sinistralidade em Portugal por período horário,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Período horário,AcV,,,VM,,,FG,,,FL,,
,2019,2020,"∆(%) 
20/19",2019,2020,"∆(%) 
20/19",2019,2020,"∆(%) 
20/19",2019,2020,"∆(%) 
20/19"
[00:00-03:00[,1387,877,-0.36770007209805333,43,33,-0.2325581395348837,155,84,-0.4580645161290322,1656,1056,-0.3623188405797102
[03:00-06:00[,797,470,-0.410288582183187,26,22,-0.15384615384615385,99,51,-0.48484848484848486,937,564,-0.3980789754535753
[06:00-09:00[,4157,2797,-0.32715900890064953,57,56,-0.01754385964912286,225,158,-0.2977777777777778,4975,3266,-0.34351758793969844
[09:00-12:00[,6047,4657,-0.22986604928063503,83,77,-0.07228915662650603,294,222,-0.24489795918367352,7098,5306,-0.25246548323471396
[12:00-15:00[,6561,5049,-0.2304526748971193,78,76,-0.02564102564102566,326,259,-0.20552147239263807,7969,5841,-0.2670347596938135
[15:00-18:00[,7745,5723,-0.2610716591349258,142,96,-0.323943661971831,464,417,-0.10129310344827591,9561,6684,-0.3009099466582993
[18:00-21:00[,7463,5767,-0.2272544553128769,181,105,-0.419889502762431,534,442,-0.17228464419475653,8971,6580,-0.26652547096198864
[21:00-00:00[,3094,2385,-0.229153199741435,78,71,-0.08974358974358976,286,244,-0.14685314685314688,3767,2761,-0.2670560127422352
Total,37251,27725,-0.25572467853212,688,536,-0.221,2383,1877,-0.2123373898447335,44934,32058,-0.28655361196421414
