Quadro 3.2 Vítimas em Portugal por categoria de veículo,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Categoria de veículo e peões,VM,,,FG,,,FL,,,Total de vítimas,,,VM/ 100 vítimas,,FG/ 100 vítimas,
,2019,2020,"∆(%) 
20/19",2019,2020,"∆(%) 
20/19",2019,2020,"∆(%) 
20/19",2019,2020,"∆(%) 
20/19",2019,2020,2019,2020
Peões,140,101,-0.279,450,291,-0.353,5391,3484,-0.354,5981,3876,-0.352,2.340745694699883,2.60577915376677,7.5238254472496235,7.507739938080496
Veículo ligeiro,293,240,-0.181,981,822,-0.162,26734,17830,-0.333,28008,18892,-0.325,1.0461296772350757,1.270378996400593,3.502570694087404,4.351048062672031
Veículo pesado,37,13,-0.649,45,19,-0.578,600,354,-0.41,682,386,-0.434,5.425219941348973,3.3678756476683938,6.598240469208211,4.922279792746114
Ciclomotor,36,26,-0.278,158,118,-0.253,2391,1799,-0.248,2585,1943,-0.248,1.3926499032882012,1.3381369016984046,6.112185686653771,6.0730828615542976
Motociclo cilindrada <= 125cc,37,32,-0.135,215,159,-0.26,4330,3639,-0.16,4582,3830,-0.164,0.8075076385857703,0.8355091383812011,4.692274116106503,4.151436031331593
Motociclo cilindrada > 125cc,90,84,-0.067,342,283,-0.173,2790,2354,-0.156,3222,2721,-0.155,2.793296089385475,3.0871003307607494,10.614525139664805,10.400588019110621
Velocípede,27,19,-0.296,121,120,-0.008,2172,2160,-0.006,2320,2299,-0.009,1.1637931034482758,0.8264462809917356,5.2155172413793105,5.219660722053067
Quadriciclo,12,7,-0.417,40,30,-0.25,319,255,-0.201,371,292,-0.213,3.234501347708895,2.397260273972603,10.78167115902965,10.273972602739727
Triciclo,0,1,-,1,4,3,45,25,-0.444,46,30,-0.348,0,3.3333333333333335,2.1739130434782608,13.333333333333334
Veículo agrícola,15,13,-0.133,25,24,-0.04,105,116,0.105,145,153,0.055,10.344827586206897,8.49673202614379,17.24137931034483,15.686274509803921
Outros*,1,0,-1,5,7,0.4,57,42,-0.263,63,49,-0.222,1.5873015873015872,0,7.936507936507937,14.285714285714286
Total,688,536,-0.221,2383,1877,-0.212,44934,32058,-0.287,48005,34471,-0.282,1.4331840433288199,1.5549302312088422,4.964066243099677,5.445156798468278
"*Inclui veículos de tração animal, veículos sobre carris, máquinas industriais e não definidos",,,,,,,,,,,,,,,,
