Quadro 3.5 Vítimas em Portugal por grupo etário,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Grupo etário,VM,,,FG,,,FL,,,Total de vítimas,,
,2019,2020,∆(%),2019,2020,∆(%),2019,2020,∆(%),2019,2020,∆(%)
,,,20/19,,,20/19,,,20/19,,,20/19
<=14,15,10,-0.33333333333333337,91,69,-0.2417582417582418,2435,1452,-0.40369609856262834,2541,1531,-0.3974813065722157
15-19,24,23,-0.04166666666666663,133,117,-0.12030075187969924,3336,2368,-0.290167865707434,3493,2508,-0.2819925565416548
20-24,58,33,-0.43103448275862066,219,215,-0.0182648401826484,5039,3716,-0.2625520936693788,5316,3964,-0.254326561324304
25-29,46,52,0.13043478260869557,218,190,-0.12844036697247707,4156,3163,-0.23893166506256014,4420,3405,-0.22963800904977372
30-34,38,36,-0.052631578947368474,192,140,-0.27083333333333337,3616,2570,-0.2892699115044248,3846,2746,-0.2860114404576183
35-39,47,32,-0.3191489361702128,199,162,-0.18592964824120606,3389,2434,-0.2817940395396872,3635,2628,-0.2770288858321871
40-44,42,38,-0.09523809523809523,219,155,-0.2922374429223744,3718,2718,-0.26896180742334586,3979,2911,-0.26840914802714255
45-49,54,46,-0.14814814814814814,161,155,-0.037267080745341574,3479,2704,-0.22276516240298938,3694,2905,-0.21358960476448297
50-54,37,36,-0.027027027027026973,163,136,-0.16564417177914115,3148,2269,-0.2792249047013977,3348,2441,-0.2709080047789725
55-59,35,37,0.05714285714285716,151,117,-0.22516556291390732,3049,2159,-0.2918989832732043,3235,2313,-0.2850077279752705
60-64,47,47,0,145,106,-0.2689655172413793,2506,1787,-0.2869114126097366,2698,1940,-0.2809488510007413
65-69,60,33,-0.44999999999999996,147,90,-0.3877551020408163,1999,1421,-0.2891445722861431,2206,1544,-0.300090661831369
70-74,59,29,-0.5084745762711864,122,76,-0.3770491803278688,1816,1208,-0.3348017621145375,1997,1313,-0.342513770655984
>=75,125,83,-0.33599999999999997,217,149,-0.31336405529953915,3207,2083,-0.35048331774243846,3549,2315,-0.3477035784728092
n.d.,1,1,0,6,0,-1,41,6,-0.8536585365853658,48,7,-0.8541666666666666
Total,688,536,-0.22093023255813948,2383,1877,-0.2123373898447335,44934,32058,-0.28655361196421414,48005,34471,-0.2819289657327362
,,,,,,,,,,,,
