"Quadro 3.6 Vítimas mortais em Portugal por milhão de habitantes, segundo o grupo etário",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Grupo etário,População (2020)*,VM,VM/milhão habitantes de Portugal,,,,,,,,
,,,,,,,,,,,
<=14,1382628,10,7.2326034189962884,,,,,,,,
15-19,536441,23,42.87517173370417,,,,,,,,
20-24,563793,33,58.5321208315818,,,,,,,,
25-29,547593,52,94.96103858157427,,,,,,,,
30-34,566252,36,63.575934389635705,,,,,,,,
35-39,650225,32,49.21373370756277,,,,,,,,
40-44,764673,38,49.69444455342349,,,,,,,,
45-49,802818,46,57.29816720601681,,,,,,,,
50-54,745021,36,48.32078558859415,,,,,,,,
55-59,742729,37,49.81628561696123,,,,,,,,
60-64,686431,47,68.47010114636431,,,,,,,,
65-69,627841,33,52.561078362196795,,,,,,,,
70-74,556272,29,52.13276958034918,,,,,,,,
>=75,1125535,83,73.74270902282026,,,,,,,,
Total,10298252,535,51.95056403746966,,,,,,,,
(1) Inclui uma VM sem idade conhecida,,,,,,,,,,,
*Fonte: INE,,,,,,,,,,,
,,,,,,,,,,,
