Quadro 4.11  Peões vítimas em Portugal por ação do peão,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Ação do peão,VM,,,FG,,,FL,,,Total de peões vítimas,,
,2019,2020,∆(%),2019,2020,∆(%),2019,2020,∆(%),2019,2020,∆(%)
,,,20/19,,,20/19,,,20/19,,,20/19
Em plena faixa de rodagem,48,29,-0.39583333333333337,78,44,-0.4358974358974359,585,415,-0.29059829059829057,711,488,-0.3136427566807314
Atravessando em passagem sinalizada,21,18,-0.1428571428571429,145,95,-0.3448275862068966,2481,1528,-0.3841193067311568,2647,1641,-0.3800528900642236
Transitando pela berma ou passeio,22,17,-0.2272727272727273,40,29,-0.275,487,365,-0.2505133470225873,549,411,-0.2513661202185792
Atravessando fora da passagem de peões a mais de 50m de uma passagem ou quando não exista passagem,19,13,-0.3157894736842105,55,30,-0.4545454545454546,401,252,-0.37157107231920194,475,295,-0.3789473684210526
"Atravessando fora da passagem de peões, a menos de 50m de uma passagem",8,7,-0.125,44,39,-0.11363636363636365,541,356,-0.3419593345656192,593,402,-0.3220910623946037
A sair ou entrar num veículo,3,4,0.33333333333333326,17,9,-0.47058823529411764,153,97,-0.36601307189542487,173,110,-0.36416184971098264
Atravessando em passagem sinalizada com desrespeito da sinalização semafórica,2,3,0.5,6,4,-0.33333333333333337,111,54,-0.5135135135135135,119,61,-0.4873949579831933
Transitando pela esquerda da faixa de rodagem,1,3,2,8,3,-0.625,68,51,-0.25,77,57,-0.2597402597402597
Em ilhéu ou refúgio na via,1,2,1,4,1,-0.75,49,44,-0.10204081632653061,54,47,-0.12962962962962965
Transitando pela direita da faixa de rodagem,6,2,-0.6666666666666667,14,14,0,131,123,-0.06106870229007633,151,139,-0.07947019867549665
Em trabalhos na via,1,1,0,9,5,-0.4444444444444444,59,41,-0.30508474576271183,69,47,-0.3188405797101449
Surgindo inesperadamente na faixa de rodagem de trás de um obstáculo,7,1,-0.8571428571428572,30,18,-0.4,297,140,-0.5286195286195285,334,159,-0.5239520958083832
n.d.,1,1,0,0,0,-,28,18,-0.3571428571428571,29,19,-0.3448275862068966
Total,140,101,-0.2785714285714286,450,291,-0.3533333333333334,5391,3484,-0.35373771099981455,5981,3876,-0.3519478348102324
,,,,,,,,,,,,
