Quadro 4.13  Peões vítimas em Portugal por grupo etário,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Grupo etário,VM,,,FG,,,FL,,,Total de peões vítimas,,
,2019,2020,∆(%),2019,2020,∆(%),2019,2020,∆(%),2019,2020,∆(%)
,,,20/19,,,20/19,,,20/19,,,20/19
<=14,4,0,-1,37,29,-0.21621621621621623,594,341,-0.42592592592592593,635,370,-0.4173228346456693
15-19,2,4,1,17,18,0.05882352941176472,414,234,-0.4347826086956522,433,256,-0.40877598152424943
20-24,4,2,-0.5,23,12,-0.4782608695652174,340,190,-0.4411764705882353,367,204,-0.444141689373297
25-29,3,1,-0.6666666666666667,15,12,-0.19999999999999996,232,152,-0.3448275862068966,250,165,-0.33999999999999997
30-34,1,5,4,10,8,-0.19999999999999996,214,117,-0.4532710280373832,225,130,-0.4222222222222223
35-39,3,1,-0.6666666666666667,11,9,-0.18181818181818177,220,138,-0.3727272727272727,234,148,-0.36752136752136755
40-44,1,5,4,30,11,-0.6333333333333333,282,176,-0.375886524822695,313,192,-0.3865814696485623
45-49,11,4,-0.6363636363636364,22,22,0,308,224,-0.2727272727272727,341,250,-0.2668621700879765
50-54,5,8,0.6000000000000001,32,25,-0.21875,362,238,-0.3425414364640884,399,271,-0.3208020050125313
55-59,10,7,-0.30000000000000004,35,24,-0.3142857142857143,412,290,-0.2961165048543689,457,321,-0.29759299781181614
60-64,15,9,-0.4,34,25,-0.2647058823529411,395,277,-0.2987341772151899,444,311,-0.2995495495495496
65-69,20,10,-0.5,44,22,-0.5,346,252,-0.2716763005780347,410,284,-0.30731707317073176
70-74,20,9,-0.55,57,21,-0.631578947368421,406,279,-0.312807881773399,483,309,-0.36024844720496896
>=75,41,36,-0.12195121951219512,83,53,-0.3614457831325302,866,576,-0.33487297921478065,990,665,-0.3282828282828283
Total,140,101,-0.2785714285714286,450,291,-0.3533333333333334,5391,3484,-0.35373771099981455,5981,3876,-0.3519478348102324
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
