Quadro 4.3  Peões vítimas em Portugal por mês,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Mês,VM,,,FG,,,FL,,,Total de peões vítimas,,
,2019,2020,∆(%),2019,2020,∆(%),2019,2020,∆(%),2019,2020,∆(%)
,,,20/19,,,20/19,,,20/19,,,20/19
jan,19,16,-0.1578947368421053,45,30,-0.33333333333333337,513,499,-0.02729044834307992,577,545,-0.0554592720970537
fev,9,7,-0.2222222222222222,34,29,-0.1470588235294118,390,395,0.012820512820512775,433,431,-0.004618937644341847
mar,13,6,-0.5384615384615384,52,14,-0.7307692307692308,475,221,-0.5347368421052632,540,241,-0.5537037037037037
abr,8,3,-0.625,22,9,-0.5909090909090908,352,55,-0.84375,382,67,-0.824607329842932
mai,7,7,0,35,22,-0.37142857142857144,466,170,-0.6351931330472103,508,199,-0.6082677165354331
jun,10,8,-0.19999999999999996,38,20,-0.4736842105263158,373,199,-0.46648793565683644,421,227,-0.46080760095011875
jul,7,7,0,26,25,-0.038461538461538436,386,292,-0.24352331606217614,419,324,-0.22673031026252988
ago,13,12,-0.07692307692307687,41,25,-0.3902439024390244,368,289,-0.21467391304347827,422,326,-0.2274881516587678
set,8,10,0.25,51,22,-0.5686274509803921,403,319,-0.2084367245657568,462,351,-0.24025974025974028
out,16,12,-0.25,35,28,-0.19999999999999996,512,353,-0.310546875,563,393,-0.30195381882770866
nov,13,4,-0.6923076923076923,42,36,-0.1428571428571429,581,318,-0.45266781411359724,636,358,-0.4371069182389937
dez,17,9,-0.47058823529411764,29,31,0.06896551724137923,572,374,-0.34615384615384615,618,414,-0.33009708737864074
Total,140,101,-0.2785714285714286,450,291,-0.3533333333333334,5391,3484,-0.35373771099981455,5981,3876,-0.3519478348102324
