Quadro 4.6  Peões vítimas em Portugal por fatores atmosféricos,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Fatores atmosféricos ,VM,,,FG,,,FL,,,Total de peões vítimas,,
,2019,2020,∆(%),2019,2020,∆(%),2019,2020,∆(%),2019,2020,∆(%)
,,,20/19,,,20/19,,,20/19,,,20/19
Bom tempo,126,86,-0.31746031746031744,372,250,-0.32795698924731187,4424,2921,-0.3397377938517179,4922,3257,-0.3382771231206827
Chuva,13,13,0,75,38,-0.4933333333333333,928,544,-0.4137931034482759,1016,595,-0.4143700787401575
Nevoeiro,0,2,-,1,2,1,18,10,-0.4444444444444444,19,14,-0.26315789473684215
Vento,1,0,-,1,1,0,7,1,-0.8571428571428572,9,2,-0.7777777777777778
Neve,0,0,-,0,0,-,1,0,-1,1,0,-1
Fumo,0,0,-,1,0,-1,0,0,-,1,0,-1
Granizo,0,0,-,0,0,-,0,0,-,0,0,-
n.d.,0,0,-,0,0,-,13,8,-0.3846153846153846,13,8,-0.3846153846153846
Total,140,101,-0.2785714285714286,450,291,-0.3533333333333334,5391,3484,-0.35373771099981455,5981,3876,-0.3519478348102324
,,,,,,,,,,,,
