Quadro 4.9  Peões vítimas em Portugal por tipo de via,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Tipo de via,VM,,,FG,,,FL,,,Total de peões vítimas,,
,2019,2020,∆(%),2019,2020,∆(%),2019,2020,∆(%),2019,2020,∆(%)
,,,20/19,,,20/19,,,20/19,,,20/19
AEs,6,8,0.33333333333333326,7,3,-0.5714285714285714,18,15,-0.16666666666666663,31,26,-0.16129032258064513
Arruamentos,91,60,-0.34065934065934067,347,231,-0.33429394812680113,4957,3094,-0.3758321565462982,5395,3385,-0.3725671918443003
EMs,3,2,-0.33333333333333337,10,6,-0.4,31,35,0.12903225806451624,44,43,-0.022727272727272707
ENs,27,24,-0.11111111111111116,53,36,-0.3207547169811321,255,238,-0.06666666666666665,335,298,-0.11044776119402988
ERs,4,1,-0.75,4,0,-1,18,5,-0.7222222222222222,26,6,-0.7692307692307692
ICs,7,3,-0.5714285714285714,8,5,-0.375,8,8,0,23,16,-0.30434782608695654
IPs,0,0,-,0,1,-,0,0,-,0,1,-
Outras vias,2,3,0.5,21,9,-0.5714285714285714,104,89,-0.14423076923076927,127,101,-0.20472440944881887
Total,140,101,-0.2785714285714286,450,291,-0.3533333333333334,5391,3484,-0.35373771099981455,5981,3876,-0.3519478348102324
"*Inclui acessos, estradas florestais, pontes, variantes e não definidas",,,,,,,,,,,,
