Quadro 5.10 Passageiros vítimas em Portugal por tipo de via,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Tipo de via,VM,,,FG,,,FL,,,Total de passageiros vítimas,,
,2019,2020,∆(%),2019,2020,∆(%),2019,2020,∆(%),2019,2020,∆(%)
,,,20/19,,,20/19,,,20/19,,,20/19
AEs,23,11,-0.5217391304347826,67,32,-0.5223880597014925,1140,639,-0.43947368421052635,1230,682,-0.44552845528455287
Arruamentos,61,27,-0.5573770491803278,136,85,-0.375,5624,3406,-0.3943812233285917,5821,3518,-0.3956364885758461
EMs,8,1,-0.875,36,28,-0.2222222222222222,448,280,-0.375,492,309,-0.3719512195121951
ENs,35,27,-0.22857142857142854,111,111,0,2374,1576,-0.33614153327716934,2520,1714,-0.3198412698412698
ERs,3,0,-1,6,4,-0.33333333333333337,140,71,-0.4928571428571429,149,75,-0.49664429530201337
ICs,6,3,-0.5,24,19,-0.20833333333333337,389,249,-0.35989717223650386,419,271,-0.3532219570405728
IPs,5,2,-0.6,12,11,-0.08333333333333337,123,80,-0.34959349593495936,140,93,-0.33571428571428574
Outras vias,4,7,0.75,26,21,-0.1923076923076923,429,335,-0.21911421911421913,459,363,-0.20915032679738566
Total,145,78,-0.4620689655172414,418,311,-0.2559808612440191,10667,6636,-0.37789444079872503,11230,7025,-0.3744434550311665
"*Inclui acessos, estradas florestais, pontes, variantes e não definidas",,,,,,,,,,,,
