Quadro 5.11 Passageiros vítimas em Portugal por distrito,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Distrito,VM,,,FG,,,FL,,,Total de passageiros vítimas,,
,2019,2020,∆(%),2019,2020,∆(%),2019,2020,∆(%),2019,2020,∆(%)
,,,20/19,,,20/19,,,20/19,,,20/19
Aveiro,3,2,-0.33333333333333337,28,17,-0.3928571428571429,723,463,-0.35961272475795303,754,482,-0.36074270557029176
Beja,13,6,-0.5384615384615384,20,24,0.19999999999999996,186,122,-0.34408602150537637,219,152,-0.30593607305936077
Braga,5,2,-0.6,23,17,-0.26086956521739135,980,589,-0.3989795918367347,1008,608,-0.39682539682539686
Bragança,0,1,-,13,10,-0.23076923076923073,129,70,-0.45736434108527135,142,81,-0.4295774647887324
C. Branco,6,5,-0.16666666666666663,12,14,0.16666666666666674,178,113,-0.3651685393258427,196,132,-0.326530612244898
Coimbra,8,3,-0.625,10,16,0.6000000000000001,435,294,-0.32413793103448274,453,313,-0.3090507726269316
Évora,5,3,-0.4,18,10,-0.4444444444444444,166,101,-0.39156626506024095,189,114,-0.39682539682539686
Faro,4,4,0,35,20,-0.4285714285714286,543,315,-0.419889502762431,582,339,-0.41752577319587625
Guarda,3,4,0.33333333333333326,18,6,-0.6666666666666667,143,81,-0.43356643356643354,164,91,-0.44512195121951215
Leiria,8,5,-0.375,22,16,-0.2727272727272727,472,299,-0.3665254237288136,502,320,-0.36254980079681276
Lisboa,11,8,-0.2727272727272727,34,28,-0.17647058823529416,2090,1263,-0.3956937799043062,2135,1299,-0.39156908665105383
Portalegre,1,5,4,13,19,0.46153846153846145,104,81,-0.22115384615384615,118,105,-0.11016949152542377
Porto,18,6,-0.6666666666666667,27,25,-0.07407407407407407,1854,1072,-0.42179072276159657,1899,1103,-0.4191679831490258
Santarém,9,6,-0.33333333333333337,41,25,-0.3902439024390244,508,343,-0.3248031496062992,558,374,-0.32974910394265233
Setúbal,3,3,0,21,17,-0.19047619047619047,820,532,-0.35121951219512193,844,552,-0.3459715639810427
V. Castelo,2,6,2,10,10,0,250,167,-0.33199999999999996,262,183,-0.3015267175572519
Vila Real,1,1,0,5,11,1.2000000000000002,263,154,-0.4144486692015209,269,166,-0.3828996282527881
Viseu,9,2,-0.7777777777777778,18,11,-0.38888888888888884,405,265,-0.345679012345679,432,278,-0.3564814814814815
RA Açores,6,4,-0.33333333333333337,23,7,-0.6956521739130435,180,131,-0.27222222222222225,209,142,-0.32057416267942584
RA Madeira,30,2,-0.9333333333333333,27,8,-0.7037037037037037,238,181,-0.23949579831932777,295,191,-0.3525423728813559
Total,145,78,-0.4620689655172414,418,311,-0.2559808612440191,10667,6636,-0.37789444079872503,11230,7025,-0.3744434550311665
,,,,,,,,,,,,
