Quadro 5.12 Passageiros vítimas em Portugal por grupo etário,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Grupo etário,VM,,,FG,,,FL,,,Total de passageiros vítimas,,
,2019,2020,∆(%),2019,2020,∆(%),2019,2020,∆(%),2019,2020,∆(%)
,,,20/19,,,20/19,,,20/19,,,20/19
<=14,10,8,-0.19999999999999996,45,25,-0.4444444444444444,1697,972,-0.427224513847967,1752,1005,-0.4263698630136986
15-19,9,7,-0.2222222222222222,50,35,-0.30000000000000004,1163,698,-0.3998280309544282,1222,740,-0.3944353518821604
20-24,14,9,-0.3571428571428571,58,55,-0.051724137931034475,1240,854,-0.31129032258064515,1312,918,-0.3003048780487805
25-29,8,14,0.75,34,38,0.11764705882352944,851,560,-0.3419506462984724,893,612,-0.31466965285554316
30-34,7,3,-0.5714285714285714,27,22,-0.18518518518518523,613,414,-0.32463295269168024,647,439,-0.32148377125193195
35-39,3,2,-0.33333333333333337,25,25,0,507,356,-0.29783037475345164,535,383,-0.28411214953271025
40-44,4,1,-0.75,29,11,-0.6206896551724138,593,403,-0.3204047217537943,626,415,-0.33706070287539935
45-49,6,7,0.16666666666666674,17,17,0,559,392,-0.2987477638640429,582,416,-0.2852233676975945
50-54,6,5,-0.16666666666666663,22,13,-0.40909090909090906,552,356,-0.35507246376811596,580,374,-0.3551724137931035
55-59,5,5,0,17,7,-0.5882352941176471,616,354,-0.4253246753246753,638,366,-0.4263322884012539
60-64,11,2,-0.8181818181818181,16,11,-0.3125,547,328,-0.4003656307129799,574,341,-0.4059233449477352
65-69,12,3,-0.75,30,14,-0.5333333333333333,490,281,-0.42653061224489797,532,298,-0.4398496240601504
70-74,11,3,-0.7272727272727273,11,13,0.18181818181818188,420,247,-0.4119047619047619,442,263,-0.40497737556561086
>=75,39,9,-0.7692307692307692,37,25,-0.32432432432432434,818,421,-0.4853300733496333,894,455,-0.49105145413870244
n.d.,0,0,#DIV/0!,0,0,#DIV/0!,1,0,-1,1,0,-1
Total,145,78,-0.4620689655172414,418,311,-0.2559808612440191,10667,6636,-0.37789444079872503,11230,7025,-0.3744434550311665
,,,,,,,,,,,,
