Quadro 5.4 Passageiros vítimas em Portugal por dia da semana,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Dia da semana,VM,,,FG,,,FL,,,Total de passageiros vítimas,,
,2019,2020,∆(%),2019,2020,∆(%),2019,2020,∆(%),2019,2020,∆(%)
,,,20/19,,,20/19,,,20/19,,,20/19
2ª feira,13,16,0.23076923076923084,34,48,0.41176470588235303,1377,869,-0.3689179375453885,1424,933,-0.3448033707865169
3ª feira,14,11,-0.2142857142857143,53,46,-0.13207547169811318,1384,793,-0.42702312138728327,1451,850,-0.41419710544452104
4ª feira,44,12,-0.7272727272727273,53,40,-0.24528301886792447,1355,869,-0.3586715867158672,1452,921,-0.3657024793388429
5ª feira,8,7,-0.125,42,35,-0.16666666666666663,1376,879,-0.3611918604651163,1426,921,-0.3541374474053296
6ª feira,15,9,-0.4,56,33,-0.4107142857142857,1490,976,-0.34496644295302015,1561,1018,-0.3478539397821909
Sábado,21,10,-0.5238095238095238,79,57,-0.2784810126582279,1803,1135,-0.3704936217415419,1903,1202,-0.36836573830793484
Domingo,30,13,-0.5666666666666667,101,52,-0.48514851485148514,1882,1115,-0.40754516471838464,2013,1180,-0.4138102334823647
Total,145,78,-0.4620689655172414,418,311,-0.2559808612440191,10667,6636,-0.37789444079872503,11230,7025,-0.3744434550311665
,,,,,,,,,,,,
