Quadro 5.5 Passageiros vítimas em Portugal por período horário,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Período horário,VM,,,FG,,,FL,,,Total de paassageiros vítimas,,
,2019,2020,∆(%),2019,2020,∆(%),2019,2020,∆(%),2019,2020,∆(%)
,,,20/19,,,20/19,,,20/19,,,20/19
[00:00-03:00[,9,9,0,40,19,-0.525,512,331,-0.353515625,561,359,-0.36007130124777187
[03:00-06:00[,8,7,-0.125,27,20,-0.2592592592592593,295,190,-0.35593220338983056,330,217,-0.3424242424242424
[06:00-09:00[,10,4,-0.6,35,29,-0.17142857142857137,1042,630,-0.39539347408829173,1087,663,-0.39006439742410304
[09:00-12:00[,15,8,-0.4666666666666667,35,28,-0.19999999999999996,1424,885,-0.3785112359550562,1474,921,-0.3751696065128901
[12:00-15:00[,14,13,-0.0714285714285714,54,31,-0.42592592592592593,1809,1125,-0.37810945273631846,1877,1169,-0.3771976558337773
[15:00-18:00[,31,11,-0.6451612903225806,87,61,-0.29885057471264365,2509,1491,-0.4057393383818254,2627,1563,-0.40502474305291203
[18:00-21:00[,45,16,-0.6444444444444444,78,67,-0.14102564102564108,2091,1333,-0.3625059780009565,2214,1416,-0.3604336043360433
[21:00-00:00[,13,10,-0.23076923076923073,62,56,-0.09677419354838712,985,651,-0.3390862944162436,1060,717,-0.32358490566037734
Total,145,78,-0.4620689655172414,418,311,-0.2559808612440191,10667,6636,-0.37789444079872503,11230,7025,-0.3744434550311665
,,,,,,,,,,,,
