Quadro 5.6 Passageiros vítimas em Portugal por fatores atmosféricos,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Fatores atmosféricos,VM,,,FG,,,FL,,,Total de passageiros vítimas,,
,2019,2020,∆(%),2019,2020,∆(%),2019,2020,∆(%),2019,2020,∆(%)
,,,20/19,,,20/19,,,20/19,,,20/19
Bom tempo,124,65,-0.47580645161290325,344,267,-0.22383720930232553,8376,5387,-0.3568529130850048,8844,5719,-0.35334690185436457
Chuva,17,12,-0.2941176470588235,64,38,-0.40625,2149,1151,-0.46440204746393676,2230,1201,-0.4614349775784753
Nevoeiro,1,0,-1,8,4,-0.5,88,80,-0.09090909090909094,97,84,-0.134020618556701
Vento,0,0,-,0,0,-,6,2,-0.6666666666666667,6,2,-0.6666666666666667
Neve,0,0,-,0,0,-,6,2,-0.6666666666666667,6,2,-0.6666666666666667
Fumo,2,1,-0.5,2,1,-0.5,2,1,-0.5,6,3,-0.5
Granizo,1,0,-1,0,1,-,27,5,-0.8148148148148149,28,6,-0.7857142857142857
n.d.,0,0,-,0,0,-,13,8,-0.3846153846153846,13,8,-0.3846153846153846
Total,145,78,-0.4620689655172414,418,311,-0.2559808612440191,10667,6636,-0.37789444079872503,11230,7025,-0.3744434550311665
,,,,,,,,,,,,
