Quadro 6.10 Condutores vítimas em Portugal por tipo de via,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Tipo de via,VM,,,FG,,,FL,,,Total de condutores vítimas,,
,2019,2020,∆(%),2019,2020,∆(%),2019,2020,∆(%),2019,2020,∆(%)
,,,20/19,,,20/19,,,20/19,,,20/19
AEs,38,40,0.05263157894736836,94,67,-0.2872340425531915,1926,1247,-0.3525441329179647,2058,1354,-0.34207968901846453
Arruamentos,143,117,-0.18181818181818177,721,577,-0.1997226074895978,17576,13399,-0.23765361857077838,18440,14093,-0.23573752711496743
EMs,29,26,-0.10344827586206895,111,92,-0.1711711711711712,1130,957,-0.1530973451327433,1270,1075,-0.15354330708661412
ENs,118,119,0.008474576271186418,385,370,-0.038961038961038974,5612,4370,-0.2213114754098361,6115,4859,-0.2053965658217498
ERs,3,6,1,22,13,-0.40909090909090906,310,207,-0.33225806451612905,335,226,-0.32537313432835824
ICs,18,15,-0.16666666666666663,50,43,-0.14,868,578,-0.3341013824884793,936,636,-0.3205128205128205
IPs,14,5,-0.6428571428571428,14,11,-0.2142857142857143,226,164,-0.2743362831858407,254,180,-0.2913385826771654
Outras vias,40,29,-0.275,118,102,-0.13559322033898302,1228,1016,-0.17263843648208466,1386,1147,-0.1724386724386724
Total,403,357,-0.11414392059553347,1515,1275,-0.15841584158415845,28876,21938,-0.24026873528189496,30794,23570,-0.23459115412093268
"*Inclui acessos, estradas florestais, pontes, variantes e não definidas",,,,,,,,,,,,
