Quadro 6.11 Condutores vítimas em Portugal por distrito,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Distrito,VM,,,FG,,,FL,,,Total de condutores vítimas,,
,2019,2020,∆(%),2019,2020,∆(%),2019,2020,∆(%),2019,2020,∆(%)
,,,20/19,,,20/19,,,20/19,,,20/19
Aveiro,34,21,-0.38235294117647056,80,80,0,2356,1808,-0.232597623089983,2470,1909,-0.22712550607287452
Beja,22,14,-0.36363636363636365,39,43,0.10256410256410264,345,273,-0.20869565217391306,406,330,-0.18719211822660098
Braga,29,20,-0.31034482758620685,95,84,-0.11578947368421055,2591,2014,-0.222693940563489,2715,2118,-0.2198895027624309
Bragança,7,3,-0.5714285714285714,24,24,0,308,200,-0.35064935064935066,339,227,-0.3303834808259587
C. Branco,7,11,0.5714285714285714,44,58,0.3181818181818181,391,340,-0.13043478260869568,442,409,-0.07466063348416285
Coimbra,25,18,-0.28,53,57,0.07547169811320753,1353,1029,-0.23946784922394682,1431,1104,-0.22851153039832284
Évora,9,10,0.11111111111111116,45,29,-0.3555555555555555,341,265,-0.22287390029325516,395,304,-0.23037974683544304
Faro,29,20,-0.31034482758620685,152,111,-0.26973684210526316,1664,1200,-0.27884615384615385,1845,1331,-0.27859078590785913
Guarda,15,10,-0.33333333333333337,34,32,-0.05882352941176472,323,261,-0.19195046439628483,372,303,-0.18548387096774188
Leiria,26,22,-0.15384615384615385,83,62,-0.2530120481927711,1476,1082,-0.2669376693766937,1585,1166,-0.2643533123028391
Lisboa,40,46,0.1499999999999999,200,147,-0.265,6115,4319,-0.2937040065412919,6355,4512,-0.2900078678206137
Portalegre,15,9,-0.4,34,25,-0.2647058823529411,234,173,-0.26068376068376065,283,207,-0.26855123674911663
Porto,35,35,0,135,104,-0.22962962962962963,4791,3731,-0.2212481736589439,4961,3870,-0.21991533964926424
Santarém,27,35,0.2962962962962963,146,106,-0.273972602739726,1293,959,-0.25831399845320957,1466,1100,-0.24965893587994548
Setúbal,22,31,0.40909090909090917,109,87,-0.2018348623853211,1908,1534,-0.19601677148846963,2039,1652,-0.1897989210397254
V. Castelo,8,15,0.875,34,37,0.08823529411764697,694,530,-0.2363112391930836,736,582,-0.2092391304347826
Vila Real,8,8,0,28,23,-0.1785714285714286,520,437,-0.1596153846153846,556,468,-0.15827338129496404
Viseu,25,16,-0.36,56,55,-0.017857142857142905,1051,859,-0.18268315889628928,1132,930,-0.17844522968197885
RA Açores,10,8,-0.19999999999999996,59,71,0.20338983050847448,429,367,-0.1445221445221445,498,446,-0.10441767068273089
RA Madeira,10,5,-0.5,65,40,-0.3846153846153846,693,557,-0.19624819624819623,768,602,-0.21614583333333337
Total,403,357,-0.11414392059553347,1515,1275,-0.15841584158415845,28876,21938,-0.24026873528189496,30794,23570,-0.23459115412093268
,,,,,,,,,,,,
