Quadro 6.17 Condutores vítimas em Portugal por grupo etário,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Grupo etário,VM,,,FG,,,FL,,,Total de condutores vítimas,,
,2019,2020,∆(%),2019,2020,∆(%),2019,2020,∆(%),2019,2020,∆(%)
,,,20/19,,,20/19,,,20/19,,,20/19
<=14,1,2,1,9,15,0.6666666666666667,144,139,-0.03472222222222221,154,156,0.01298701298701288
15-19,13,12,-0.07692307692307687,66,64,-0.030303030303030276,1759,1436,-0.183627060830017,1838,1512,-0.17736670293797607
20-24,40,22,-0.44999999999999996,138,148,0.07246376811594213,3459,2672,-0.22752240531945644,3637,2842,-0.21858674731921912
25-29,35,37,0.05714285714285716,169,140,-0.17159763313609466,3073,2451,-0.20240807028961927,3277,2628,-0.198046994202014
30-34,30,28,-0.06666666666666665,155,110,-0.29032258064516125,2789,2039,-0.2689135891000358,2974,2177,-0.26798924008069935
35-39,41,29,-0.29268292682926833,163,128,-0.21472392638036808,2662,1940,-0.27122464312546957,2866,2097,-0.2683182135380321
40-44,37,32,-0.1351351351351351,160,133,-0.16874999999999996,2843,2139,-0.24762574744987687,3040,2304,-0.2421052631578947
45-49,37,35,-0.05405405405405406,122,116,-0.049180327868852514,2612,2088,-0.2006125574272588,2771,2239,-0.19198845182244673
50-54,26,23,-0.11538461538461542,109,98,-0.1009174311926605,2234,1675,-0.25022381378692926,2369,1796,-0.24187420852680452
55-59,20,25,0.25,99,86,-0.13131313131313127,2021,1515,-0.25037110341415136,2140,1626,-0.24018691588785046
60-64,21,36,0.7142857142857142,95,70,-0.26315789473684215,1564,1182,-0.24424552429667523,1680,1288,-0.23333333333333328
65-69,28,20,-0.2857142857142857,73,54,-0.26027397260273977,1163,888,-0.23645743766122096,1264,962,-0.23892405063291144
70-74,28,17,-0.3928571428571429,54,42,-0.2222222222222222,990,682,-0.3111111111111111,1072,741,-0.30876865671641796
>=75,45,38,-0.15555555555555556,97,71,-0.2680412371134021,1523,1086,-0.28693368351936965,1665,1195,-0.28228228228228225
n.d.,1,1,0,6,0,-1,40,6,-0.85,47,7,-0.851063829787234
Total,403,357,-0.11414392059553347,1515,1275,-0.15841584158415845,28876,21938,-0.24026873528189496,30794,23570,-0.23459115412093268
