Quadro 6.3 Condutores vítimas em Portugal por mês,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Mês,VM,,,FG,,,FL,,,Total de condutores vítimas,,
,2019,2020,∆(%),2019,2020,∆(%),2019,2020,∆(%),2019,2020,∆(%)
,,,20/19,,,20/19,,,20/19,,,20/19
jan,38,24,-0.368421052631579,90,83,-0.07777777777777772,2198,2119,-0.035941765241128354,2326,2226,-0.042992261392949316
fev,33,23,-0.303030303030303,86,113,0.3139534883720929,1910,1969,0.030890052356020936,2029,2105,0.037456875308033544
mar,28,22,-0.2142857142857143,117,76,-0.3504273504273504,2262,1408,-0.37754199823165335,2407,1506,-0.3743248857498961
abr,28,14,-0.5,114,40,-0.6491228070175439,2218,785,-0.6460775473399458,2360,839,-0.6444915254237289
mai,36,33,-0.08333333333333337,145,113,-0.2206896551724138,2554,1508,-0.40955364134690686,2735,1654,-0.3952468007312614
jun,31,35,0.12903225806451624,134,121,-0.09701492537313428,2363,1836,-0.2230215827338129,2528,1992,-0.21202531645569622
jul,32,50,0.5625,152,148,-0.02631578947368418,2799,2324,-0.1697034655234012,2983,2522,-0.15454240697284616
ago,46,32,-0.30434782608695654,186,151,-0.18817204301075274,2723,2294,-0.15754682335659198,2955,2477,-0.16175972927241966
set,39,41,0.05128205128205132,134,115,-0.14179104477611937,2502,2112,-0.15587529976019188,2675,2268,-0.15214953271028042
out,26,35,0.34615384615384626,129,116,-0.10077519379844957,2724,1992,-0.2687224669603524,2879,2143,-0.2556443209447725
nov,34,25,-0.2647058823529411,113,91,-0.19469026548672563,2335,1754,-0.2488222698072805,2482,1870,-0.2465753424657534
dez,32,23,-0.28125,115,108,-0.060869565217391286,2288,1837,-0.19711538461538458,2435,1968,-0.19178644763860364
Total,403,357,-0.11414392059553347,1515,1275,-0.15841584158415845,28876,21938,-0.24026873528189496,30794,23570,-0.23459115412093268
,,,,,,,,,,,,
