Quadro 6.4 Condutores vítimas em Portugal por dia da semana,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Dia da semana,VM,,,FG,,,FL,,,Total de condutores vítimas,,
,2019,2020,∆(%),2019,2020,∆(%),2019,2020,∆(%),2019,2020,∆(%)
,,,20/19,,,20/19,,,20/19,,,20/19
2ª feira,51,51,0,160,144,-0.09999999999999998,4140,3168,-0.23478260869565215,4351,3363,-0.22707423580786024
3ª feira,46,48,0.04347826086956519,201,160,-0.20398009950248752,4225,3040,-0.2804733727810651,4472,3248,-0.2737030411449016
4ª feira,41,36,-0.12195121951219512,169,157,-0.07100591715976334,4162,3112,-0.2522825564632388,4372,3305,-0.24405306495882895
5ª feira,60,52,-0.1333333333333333,186,150,-0.19354838709677424,4305,3234,-0.24878048780487805,4551,3436,-0.24500109865963526
6ª feira,61,61,0,233,202,-0.1330472103004292,4476,3507,-0.21648793565683644,4770,3770,-0.20964360587002095
Sábado,71,57,-0.19718309859154926,299,242,-0.1906354515050167,4047,3107,-0.23227081788979487,4417,3406,-0.22888838578220516
Domingo,73,52,-0.28767123287671237,267,220,-0.17602996254681647,3521,2770,-0.21329167850042596,3861,3042,-0.21212121212121215
Total,403,357,-0.11414392059553347,1515,1275,-0.15841584158415845,28876,21938,-0.24026873528189496,30794,23570,-0.23459115412093268
,,,,,,,,,,,,
