Quadro 6.6 Condutores vítimas em Portugal por fatores atmosféricos,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Fatores atmosféricos,VM,,,FG,,,FL,,,Total de condutores vítimas,,
,2019,2020,∆(%),2019,2020,∆(%),2019,2020,∆(%),2019,2020,∆(%)
,,,20/19,,,20/19,,,20/19,,,20/19
Bom tempo,343,304,-0.11370262390670549,1315,1117,-0.15057034220532317,22978,18006,-0.21638088606493167,24636,19427,-0.21143854521837957
Chuva,58,45,-0.22413793103448276,174,141,-0.18965517241379315,5605,3697,-0.34041034790365743,5837,3883,-0.33476100736679804
Nevoeiro,2,6,2,21,15,-0.2857142857142857,196,166,-0.15306122448979587,219,187,-0.1461187214611872
Vento,0,2,-,2,0,-1,16,21,0.3125,18,23,0.2777777777777777
Neve,0,0,-,0,0,-,7,4,-0.4285714285714286,7,4,-0.4285714285714286
Fumo,0,0,-,2,0,-1,5,2,-0.6,7,2,-0.7142857142857143
Granizo,0,0,-,1,0,-1,28,7,-0.75,29,7,-0.7586206896551724
n.d.,0,0,-,0,2,-,41,35,-0.14634146341463417,41,37,-0.09756097560975607
Total,403,357,-0.11414392059553347,1515,1275,-0.15841584158415845,28876,21938,-0.24026873528189496,30794,23570,-0.23459115412093268
,,,,,,,,,,,,
