Quadro 1.1. Sinistralidade em Portugal por mês,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Mês,AcV,,,,VM,,,,FG,,,,FL,,,
,2019,2020,2021,∆(%)  21/20,2019,2020,2021,∆(%)  21/20,2019,2020,2021,∆(%)  21/20,2019,2020,2021,∆(%)  21/20
Jan,2953,2779,1698,-0.38898884490824037,68,46,34,-0.26086956521739135,155,137,103,-0.24817518248175185,3515,3337,1905,-0.4291279592448307
Fev,2470,2551,1184,-0.5358682869462956,48,38,17,-0.5526315789473684,140,184,73,-0.6032608695652174,2937,3057,1296,-0.576054955839058
Mar,2998,1759,1844,0.048322910744741376,46,33,31,-0.06060606060606055,202,106,135,0.2735849056603774,3603,2018,2086,0.03369672943508428
Abr,2791,925,2229,1.4097297297297295,71,21,30,0.4285714285714286,175,62,159,1.564516129032258,3429,1000,2545,1.545
Mai,3219,1868,2782,0.4892933618843682,55,49,55,0.12244897959183665,211,159,193,0.21383647798742134,3850,2056,3267,0.5890077821011672
Jun,2978,2241,2863,0.27755466309683174,48,51,48,-0.05882352941176472,211,158,213,0.3481012658227849,3613,2559,3344,0.30676045330207113
Jul,3397,2819,3032,0.07555870876197224,49,71,62,-0.12676056338028174,221,203,213,0.049261083743842304,4147,3264,3620,0.10906862745098045
Ago,3448,2874,3185,0.10821155184411979,75,51,68,0.33333333333333326,297,220,228,0.036363636363636376,4303,3418,3880,0.13516676418958462
Set,3216,2687,2944,0.09564570152586538,65,56,60,0.0714285714285714,226,174,231,0.3275862068965518,3887,3139,3454,0.10035043007327182
Out,3445,2559,3259,0.2735443532629933,56,53,57,0.07547169811320753,189,164,224,0.36585365853658547,4095,2877,3797,0.31977754605491837
Nov,3203,2255,2879,0.27671840354767174,54,30,52,0.7333333333333334,180,146,195,0.3356164383561644,3814,2574,3340,0.29759129759129754
Dez,3133,2408,2792,0.15946843853820591,53,37,47,0.2702702702702702,176,164,194,0.18292682926829262,3741,2759,3319,0.2029720913374411
Total,37251,27725,30691,0.10697926059513074,688,536,561,0.04664179104477606,2383,1877,2161,0.1513052743740011,44934,32058,35853,0.11837918772225331
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
