Quadro 1.2  Sinistralidade em Portugal por dia da semana,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Dia da semana,AcV,,,,VM,,,,FG,,,,FL,,,
,2019,2020,2021,∆(%)  21/20,2019,2020,2021,∆(%)  21/20,2019,2020,2021,∆(%)  21/20,2019,2020,2021,∆(%)  21/20
Segunda-Feira,5279,3966,4433,0.11775088250126076,91,84,69,-0.1785714285714286,255,240,259,0.07916666666666661,6330,4563,5123,0.1227262765724304
Terça-Feira,5388,3829,4463,0.16557848002089326,84,67,73,0.08955223880597019,326,246,283,0.15040650406504064,6452,4359,5195,0.19178710713466396
Quarta-Feira,5333,3959,4484,0.13260924475877744,98,69,74,0.07246376811594213,284,247,278,0.1255060728744939,6384,4531,5176,0.14235268152725666
Quinta-Feira,5593,4095,4422,0.07985347985347979,88,80,72,-0.09999999999999998,303,220,279,0.2681818181818181,6588,4684,5101,0.08902647309991463
Sexta-Feira,5789,4482,5006,0.11691209281570725,104,85,94,0.10588235294117654,365,294,347,0.1802721088435375,6901,5135,5790,0.12755598831548198
Sábado,5274,3920,4113,0.04923469387755097,108,81,89,0.09876543209876543,441,326,369,0.13190184049079745,6454,4628,4888,0.05617977528089879
Domingo,4595,3474,3770,0.08520437535981573,115,70,90,0.2857142857142858,409,304,346,0.13815789473684204,5825,4158,4580,0.10149110149110152
Total,37251,27725,30691,0.10697926059513074,688,536,561,0.04664179104477606,2383,1877,2161,0.1513052743740011,44934,32058,35853,0.11837918772225331
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
