Quadro 1.3  Sinistralidade em Portugal por período horário,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Período horário,AcV,,,,VM,,,,FG,,,,FL,,,
,2019,2020,2021,∆(%)  21/20,2019,2020,2021,∆(%)  21/20,2019,2020,2021,∆(%)  21/20,2019,2020,2021,∆(%)  21/20
[00:00-03:00[,1387,877,1001,0.1413911060433295,43,33,35,0.06060606060606055,155,84,130,0.5476190476190477,1656,1056,1222,0.15719696969696972
[03:00-06:00[,797,470,552,0.1744680851063829,26,22,18,-0.18181818181818177,99,51,78,0.5294117647058822,937,564,639,0.13297872340425543
[06:00-09:00[,4157,2797,3281,0.17304254558455479,57,56,46,-0.1785714285714286,225,158,164,0.03797468354430378,4975,3266,3911,0.19748928352725037
[09:00-12:00[,6047,4657,5112,0.09770238350869653,83,77,79,0.025974025974025983,294,222,291,0.31081081081081074,7098,5306,5884,0.10893328307576322
[12:00-15:00[,6561,5049,5679,0.124777183600713,78,76,88,0.1578947368421053,326,259,294,0.1351351351351351,7969,5841,6553,0.12189693545625757
[15:00-18:00[,7745,5723,6529,0.14083522627992306,142,96,122,0.27083333333333326,464,417,472,0.1318944844124701,9561,6684,7696,0.1514063435068822
[18:00-21:00[,7463,5767,6087,0.05548812207386855,181,105,107,0.01904761904761898,534,442,512,0.158371040723982,8971,6580,7029,0.0682370820668694
[21:00-00:00[,3094,2385,2450,0.027253668763102645,78,71,66,-0.07042253521126762,286,244,220,-0.09836065573770492,3767,2761,2919,0.05722564288301335
Total,37251,27725,30691,0.10697926059513074,688,536,561,0.04664179104477606,2383,1877,2161,0.1513052743740011,44934,32058,35853,0.11837918772225331
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
