Quadro 1.5  Sinistralidade em Portugal por condições de luminosidade,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Luminosidade,AcV,,,,VM,,,,FG,,,,FL,,,
,2019,2020,2021,∆(%)  21/20,2019,2020,2021,∆(%)  21/20,2019,2020,2021,∆(%)  21/20,2019,2020,2021,∆(%)  21/20
Dia,26208,19706,22890,0.16157515477519535,406,328,366,0.11585365853658547,1434,1176,1428,0.2142857142857142,31690,22737,26701,0.17434138188855175
Noite,9463,6904,6815,-0.012891077636152937,256,183,173,-0.05464480874316935,843,609,645,0.059113300492610765,11350,8056,7961,-0.011792452830188704
Aurora/Crepúsculo,1559,1110,979,-0.11801801801801803,26,25,22,-0.12,105,92,88,-0.04347826086956519,1867,1259,1184,-0.059571088165210506
n.d.,21,5,7,0.3999999999999999,0,0,0,-,1,0,0,-,27,6,7,0.16666666666666674
Total,37251,27725,30691,0.10697926059513074,688,536,561,0.04664179104477606,2383,1877,2161,0.1513052743740011,44934,32058,35853,0.11837918772225331
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
