Quadro 1.6  Sinistralidade em Portugal por natureza do acidente,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Natureza,AcV,,,,VM,,,,FG,,,,FL,,,
,2019,2020,2021,∆(%)  21/20,2019,2020,2021,∆(%)  21/20,2019,2020,2021,∆(%)  21/20,2019,2020,2021,∆(%)  21/20
Atropelamento,5565,3676,3905,0.06229597388465713,134,95,96,0.010526315789473717,427,292,298,0.020547945205479534,5513,3570,3836,0.07450980392156858
Colisão,19518,14118,16193,0.14697549227935958,265,210,221,0.05238095238095242,1012,813,952,0.17097170971709708,25880,17827,20591,0.1550457171705839
Despiste,12168,9931,10593,0.06665995368039468,289,231,244,0.05627705627705626,944,772,911,0.18005181347150256,13541,10661,11426,0.0717568708376326
Total,37251,27725,30691,0.10697926059513074,688,536,561,0.04664179104477606,2383,1877,2161,0.1513052743740011,44934,32058,35853,0.11837918772225331
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
