Quadro 1.7  Sinistralidade em Portugal por natureza detalhada do acidente,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Natureza,,AcV,,,,VM,,,,FG,,,,FL,,,
,,2019,2020,2021,∆(%)  21/20,2019,2020,2021,∆(%)  21/20,2019,2020,2021,∆(%)  21/20,2019,2020,2021,∆(%)  21/20
Atropelamento,Atropelamento com fuga,495,356,382,0.0730337078651686,11,11,6,-0.4545454545454546,36,23,29,0.26086956521739135,468,344,364,0.058139534883721034
,Atropelamento de animais,71,90,107,0.18888888888888888,1,1,0,-1,0,4,4,0,75,97,114,0.17525773195876293
,Atropelamento de peões,4999,3230,3416,0.057585139318885536,122,83,90,0.0843373493975903,391,265,265,0,4970,3129,3358,0.07318632150846915
,Total,5565,3676,3905,0.06229597388465713,134,95,96,0.010526315789473717,427,292,298,0.020547945205479534,5513,3570,3836,0.07450980392156858
Colisão,Colisão choque em cadeia,723,416,548,0.3173076923076923,6,3,6,1,14,13,11,-0.15384615384615385,1174,646,830,0.28482972136222906
,Colisão com fuga,631,555,588,0.05945945945945952,3,5,5,0,30,23,43,0.8695652173913044,739,634,662,0.04416403785488954
,Colisão com outras situações,3269,2184,2340,0.0714285714285714,33,33,20,-0.3939393939393939,136,97,117,0.2061855670103092,4214,2638,2858,0.08339651250947688
,Colisão com veiculo ou obstáculo na faixa de rodagem,1067,849,1044,0.22968197879858665,13,17,21,0.23529411764705888,57,47,64,0.36170212765957444,1323,997,1226,0.22968906720160476
,Colisão frontal,2834,2109,2356,0.11711711711711703,110,70,90,0.2857142857142858,326,283,314,0.10954063604240272,4271,3036,3422,0.127140974967062
,Colisão lateral com outro veículo em movimento,6714,5123,5852,0.14229943392543443,63,52,50,-0.038461538461538436,298,245,281,0.14693877551020407,8460,6190,7186,0.16090468497576738
,Colisão traseira com outro veículo em movimento,4280,2882,3465,0.20229007633587792,37,30,29,-0.033333333333333326,151,105,122,0.161904761904762,5699,3686,4407,0.19560499186109603
,Total,19518,14118,16193,0.14697549227935958,265,210,221,0.05238095238095242,1012,813,952,0.17097170971709708,25880,17827,20591,0.1550457171705839
Despiste,Despiste com capotamento,2060,1649,1946,0.18010915706488784,105,58,77,0.3275862068965518,225,158,245,0.5506329113924051,2554,1944,2286,0.17592592592592582
,Despiste com colisão com veículo imobil. ou obstáculo,1193,1120,1240,0.1071428571428572,31,32,30,-0.0625,106,109,132,0.21100917431192667,1336,1208,1333,0.10347682119205293
,Despiste com dispositivo de retenção,570,419,422,0.007159904534606243,1,10,7,-0.30000000000000004,21,21,26,0.23809523809523814,630,449,473,0.05345211581291753
,Despiste com fuga,101,96,109,0.13541666666666674,0,1,0,-1,19,15,5,-0.6666666666666667,111,101,120,0.18811881188118806
,Despiste com transposição do dispositivo de retenção lateral,189,166,144,-0.1325301204819277,13,13,20,0.5384615384615385,18,16,20,0.25,227,173,150,-0.1329479768786127
,Despiste sem dispositivo de retenção,1892,1574,1748,0.11054637865311312,20,19,17,-0.10526315789473684,100,76,72,-0.052631578947368474,1975,1641,1840,0.12126751980499706
,Despiste simples,6163,4907,4984,0.015691868758915817,119,98,93,-0.05102040816326525,455,377,411,0.09018567639257302,6708,5145,5224,0.015354713313896928
,Total,12168,9931,10593,0.06665995368039468,289,231,244,0.05627705627705626,944,772,911,0.18005181347150256,13541,10661,11426,0.0717568708376326
Total,,37251,27725,30691,0.10697926059513074,688,536,561,0.04664179104477606,2383,1877,2161,0.1513052743740011,44934,32058,35853,0.11837918772225331
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
