Quadro 2.1.  Veículos intervenientes em acidentes com vítimas em Portugal por categoria e natureza do acidente,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Categoria veículo e natureza ,,Atropelamento ,,,,Colisão,,,,Despiste,,,,Total,,,
,,2019,2020,2021,∆(%)  21/20,2019,2020,2021,∆(%)  21/20,2019,2020,2021,∆(%)  21/20,2019,2020,2021,∆(%)  21/20
Veículo Ligeiro,Passageiros ,3999,2553,2818,0.1037994516255385,26869,18139,21077,0.16197144274767084,6460,5084,5472,0.07631785995279317,37328,25776,29367,0.13931564245810057
,Mercadorias ,822,603,551,-0.0862354892205639,5528,4025,4522,0.12347826086956526,1376,1048,1100,0.04961832061068705,7726,5676,6173,0.08756166314305847
,Outros ,35,31,30,-0.032258064516129004,322,211,267,0.2654028436018958,94,64,79,0.234375,451,306,376,0.2287581699346406
,n.d. ,108,56,88,0.5714285714285714,39,39,27,-0.3076923076923077,13,10,7,-0.30000000000000004,160,105,122,0.161904761904762
,Total ,4964,3243,3487,0.07523897625655263,32758,22414,25893,0.15521549031855097,7943,6206,6658,0.07283274250725102,45665,31863,36038,0.13102972099300136
Veículo Pesado ,Passageiros ,104,73,53,-0.273972602739726,364,219,288,0.31506849315068486,26,16,18,0.125,494,308,359,0.1655844155844155
,Mercadorias ,50,31,25,-0.19354838709677424,590,452,473,0.04646017699115035,131,96,109,0.13541666666666674,771,579,607,0.04835924006908465
,Outros ,21,20,16,-0.19999999999999996,314,267,305,0.14232209737827706,75,60,69,0.1499999999999999,410,347,390,0.12391930835734866
,n.d. ,3,1,0,-1,1,1,3,2,0,0,0,0,4,2,3,0.5
,Total ,178,125,94,-0.248,1269,939,1069,0.13844515441959526,232,172,196,0.13953488372093026,1679,1236,1359,0.09951456310679618
Ciclomotor,,73,57,32,-0.4385964912280702,1399,1003,1024,0.02093718843469583,1034,821,889,0.08282582216808776,2506,1881,1945,0.034024455077086735
Motociclo cilindrada <= 125cc,,136,110,124,0.1272727272727272,2694,2234,2587,0.15801253357206813,1621,1405,1559,0.10960854092526695,4451,3749,4270,0.1389703921045613
Motociclo cilindrada > 125cc,,93,53,67,0.26415094339622636,1898,1497,1728,0.15430861723446898,1096,1073,1099,0.024231127679403608,3087,2623,2894,0.1033168128097599
Velocípede,,139,93,117,0.25806451612903225,1612,1534,1892,0.2333767926988266,680,740,828,0.11891891891891881,2431,2367,2837,0.19856358259400086
Quadriciclo,,15,12,11,-0.08333333333333337,125,124,122,-0.016129032258064502,207,152,151,-0.006578947368421018,347,288,284,-0.01388888888888884
Triciclo,,10,1,0,-1,23,16,10,-0.375,14,14,13,-0.0714285714285714,47,31,23,-0.25806451612903225
Veículo agrícola,,10,3,9,2,113,104,96,-0.07692307692307687,93,95,103,0.08421052631578951,216,202,208,0.02970297029702973
Outros*,,123,109,97,-0.11009174311926606,193,178,200,0.12359550561797761,27,27,30,0.11111111111111116,343,314,327,0.04140127388535042
Total ,,5741,3806,4038,0.06095638465580655,42084,30043,34621,0.15238158639283683,12947,10705,11526,0.07669313404950961,60772,44554,50185,0.1263859586120213
"*Inclui veículos de tração animal, veículos sobre carris, máquinas industriais e não definidos",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
